BankCreditRef,PaymentRef,GrossPaid,FeeCharged,FeeTax,NetPaid,SettlementDate,Currency,SourceBatch
FEB-SET-0008,FEB-PAY-0008,6450,135.45,24.38,6290.17,2026-02-06T09:49:00.000Z,INR,SET-202602-01
FEB-SET-0046,FEB-PAY-0046,7200,151.2,27.22,7021.58,2026-02-19T13:16:00.000Z,INR,SET-202602-02
FEB-SET-0058,FEB-PAY-0058,4025,84.53,15.22,3925.25,2026-02-17T13:54:00.000Z,INR,SET-202602-04
FEB-SET-0032,FEB-PAY-0032,825,17.33,3.12,804.55,2026-02-27T13:24:00.000Z,INR,SET-202602-02
FEB-SET-0071,FEB-PAY-0071,850,17.85,3.21,828.94,2026-02-10T12:33:00.000Z,INR,SET-202602-01
FEB-SET-0060,FEB-PAY-0060,4225,88.73,15.97,4120.3,2026-02-20T12:46:00.000Z,INR,SET-202602-03
FEB-SET-0068,FEB-PAY-0068,800,16.8,3.02,780.18,2026-02-21T09:58:00.000Z,INR,SET-202602-04
FEB-SET-0024,FEB-PAY-0024,1875,39.38,7.09,1828.53,2026-02-25T13:14:00.000Z,INR,SET-202602-04
FEB-SET-0020,FEB-PAY-0020,1000,21,3.78,975.22,2026-02-27T10:23:00.000Z,INR,SET-202602-02
FEB-SET-0003,FEB-PAY-0003,7225,151.73,27.31,7045.96,2026-02-07T09:09:00.000Z,INR,SET-202602-02
FEB-SET-0052,FEB-PAY-0052,2925,61.43,11.06,2852.51,2026-02-03T10:50:00.000Z,INR,SET-202602-02
FEB-SET-0025,FEB-PAY-0025,5950,124.95,22.49,5802.56,2026-02-25T13:52:00.000Z,INR,SET-202602-04
FEB-SET-0070,FEB-PAY-0070,4500,94.5,17.01,4388.49,2026-02-23T11:21:00.000Z,INR,SET-202602-02
FEB-SET-0076,FEB-PAY-0076,8800,184.8,33.26,8581.94,2026-02-20T11:36:00.000Z,INR,SET-202602-03
FEB-SET-0002,FEB-PAY-0002,5225,109.73,19.75,5095.52,2026-02-07T10:52:00.000Z,INR,SET-202602-02
FEB-SET-0019,FEB-PAY-0019,2800,58.8,10.58,2730.62,2026-02-26T12:28:00.000Z,INR,SET-202602-01
FEB-SET-0030,FEB-PAY-0030,4325,90.83,16.35,4217.82,2026-02-12T10:39:00.000Z,INR,SET-202602-03
FEB-SET-0023,FEB-PAY-0023,8400,176.4,31.75,8191.85,2026-02-12T12:54:00.000Z,INR,SET-202602-03
FEB-SET-0066,FEB-PAY-0066,450,9.45,1.7,438.85,2026-02-21T11:17:00.000Z,INR,SET-202602-04
FEB-SET-0009,FEB-PAY-0009,4700,98.7,17.77,4583.53,2026-02-21T10:53:00.000Z,INR,SET-202602-04
FEB-SET-0029,FEB-PAY-0029,7525,158.03,28.45,7338.52,2026-02-23T12:54:00.000Z,INR,SET-202602-02
FEB-SET-0041,FEB-PAY-0041,4825,101.33,18.24,4705.43,2026-02-09T10:30:00.000Z,INR,SET-202602-04
FEB-SET-0005,FEB-PAY-0005,5350,112.35,20.22,5217.43,2026-02-19T10:06:00.000Z,INR,SET-202602-02
FEB-SET-0040,FEB-PAY-0040,8975,188.48,33.93,8752.59,2026-02-22T09:42:00.000Z,INR,SET-202602-01
FEB-SET-0075,FEB-PAY-0075,9700,203.7,36.67,9459.63,2026-02-04T10:50:00.000Z,INR,SET-202602-03
FEB-SET-0049,FEB-PAY-0049,9575,201.08,36.19,9337.73,2026-02-10T13:14:00.000Z,INR,SET-202602-01
FEB-SET-0043,FEB-PAY-0043,5925,124.43,22.4,5778.17,2026-02-19T10:53:00.000Z,INR,SET-202602-02
FEB-SET-0004,FEB-PAY-0004,8450,177.45,31.94,8240.61,2026-02-15T11:04:00.000Z,INR,SET-202602-02
FEB-SET-0001,FEB-PAY-0001,9550,200.55,36.1,9313.35,2026-03-02T10:44:00.000Z,INR,SET-202602-01
FEB-SET-0042,FEB-PAY-0042,3225,67.73,12.19,3145.08,2026-03-02T11:13:00.000Z,INR,SET-202602-01
FEB-SET-0016,FEB-PAY-0016,9000,189,34.02,8776.98,2026-02-07T12:25:00.000Z,INR,SET-202602-02
FEB-SET-0011,FEB-PAY-0011,3825,80.33,14.46,3730.21,2026-02-15T13:01:00.000Z,INR,SET-202602-02
FEB-SET-0065,FEB-PAY-0065,3250,68.25,12.29,3169.46,2026-02-17T09:19:00.000Z,INR,SET-202602-04
FEB-SET-0056,FEB-PAY-0056,6050,127.05,22.87,5900.08,2026-02-12T09:10:00.000Z,INR,SET-202602-03
FEB-SET-0050,FEB-PAY-0050,750,15.75,2.84,731.41,2026-02-20T09:16:00.000Z,INR,SET-202602-03
FEB-SET-0062,FEB-PAY-0062,725,15.23,2.74,707.03,2026-02-25T13:16:00.000Z,INR,SET-202602-04
FEB-SET-0013,FEB-PAY-0013,3150,66.15,11.91,3071.94,2026-02-15T12:30:00.000Z,INR,SET-202602-02
