LogID,StaffID,Entity,EntityRef,Event,EventTime,BranchCode,OperatorNote
FEB-ACT-0027,EMP-F-69,ORDER,FEB-ORD-0027,ORDER_CONFIRMED,2026-02-26T13:07:00.000Z,NAG-F05,order confirmed at till
FEB-ACT-0032,EMP-F-71,ORDER,FEB-ORD-0032,ORDER_CONFIRMED,2026-02-25T13:24:00.000Z,NAG-F05,order confirmed at till
FEB-ACT-0075,EMP-F-40,ORDER,FEB-ORD-0075,ORDER_CONFIRMED,2026-02-02T10:50:00.000Z,NAG-F05,order confirmed at till
FEB-ACT-0048,EMP-F-60,ORDER,FEB-ORD-0048,ORDER_CONFIRMED,2026-02-24T11:16:00.000Z,MUM-F02,order confirmed at till
FEB-ACT-0011,EMP-F-51,ORDER,FEB-ORD-0011,ORDER_CONFIRMED,2026-02-13T13:01:00.000Z,NAG-F05,order confirmed at till
FEB-ACT-0052,EMP-F-12,ORDER,FEB-ORD-0052,ORDER_CONFIRMED,2026-02-01T10:50:00.000Z,PUN-F03,order confirmed at till
FEB-ACT-0037,EMP-F-71,ORDER,FEB-ORD-0037,ORDER_CONFIRMED,2026-02-12T13:49:00.000Z,PUN-F03,order confirmed at till
FEB-ACT-0053,EMP-F-44,ORDER,FEB-ORD-0053,ORDER_CONFIRMED,2026-02-27T12:00:00.000Z,MUM-F01,order confirmed at till
FEB-ACT-0076,EMP-F-11,ORDER,FEB-ORD-0076,ORDER_CONFIRMED,2026-02-18T11:36:00.000Z,MUM-F02,order confirmed at till
FEB-ACT-0012,EMP-F-81,ORDER,FEB-ORD-0012,ORDER_CONFIRMED,2026-02-02T13:42:00.000Z,MUM-F04,order confirmed at till
FEB-ACT-0051,EMP-F-96,ORDER,FEB-ORD-0051,ORDER_CONFIRMED,2026-02-13T09:05:00.000Z,NAG-F05,order confirmed at till
FEB-ACT-0022,EMP-F-49,ORDER,FEB-ORD-0022,ORDER_CONFIRMED,2026-02-16T12:17:00.000Z,MUM-F01,order confirmed at till
FEB-ACT-0001,EMP-F-68,ORDER,FEB-ORD-0001,ORDER_CONFIRMED,2026-02-28T10:44:00.000Z,NAG-F05,order confirmed at till
FEB-ACT-0058,EMP-F-68,ORDER,FEB-ORD-0058,ORDER_CONFIRMED,2026-02-15T13:54:00.000Z,PUN-F03,order confirmed at till
FEB-ACT-0036,EMP-F-13,ORDER,FEB-ORD-0036,ORDER_CONFIRMED,2026-02-20T10:46:00.000Z,MUM-F02,order confirmed at till
FEB-ACT-0063,EMP-F-24,ORDER,FEB-ORD-0063,ORDER_CONFIRMED,2026-02-25T12:28:00.000Z,NAG-F05,order confirmed at till
FEB-ACT-0046,EMP-F-48,ORDER,FEB-ORD-0046,ORDER_CONFIRMED,2026-02-17T13:16:00.000Z,MUM-F02,order confirmed at till
FEB-ACT-0047,EMP-F-59,ORDER,FEB-ORD-0047,ORDER_CONFIRMED,2026-02-08T09:24:00.000Z,PUN-F03,order confirmed at till
FEB-ACT-0007,EMP-F-95,ORDER,FEB-ORD-0007,ORDER_CONFIRMED,2026-02-13T11:50:00.000Z,MUM-F01,order confirmed at till
FEB-ACT-0057,EMP-F-83,ORDER,FEB-ORD-0057,ORDER_CONFIRMED,2026-02-16T13:17:00.000Z,MUM-F01,order confirmed at till
FEB-ACT-0054,EMP-F-43,ORDER,FEB-ORD-0054,ORDER_CONFIRMED,2026-02-25T13:05:00.000Z,MUM-F02,order confirmed at till
FEB-ACT-0030,EMP-F-61,ORDER,FEB-ORD-0030,ORDER_CONFIRMED,2026-02-10T10:39:00.000Z,MUM-F02,order confirmed at till
FEB-ACT-0024,EMP-F-55,ORDER,FEB-ORD-0024,ORDER_CONFIRMED,2026-02-23T13:14:00.000Z,MUM-F01,order confirmed at till
FEB-ACT-0020,EMP-F-52,ORDER,FEB-ORD-0020,ORDER_CONFIRMED,2026-02-25T10:23:00.000Z,MUM-F01,order confirmed at till
FEB-ACT-0049,EMP-F-15,ORDER,FEB-ORD-0049,ORDER_CONFIRMED,2026-02-08T13:14:00.000Z,NAG-F05,order confirmed at till
FEB-ACT-0043,EMP-F-69,ORDER,FEB-ORD-0043,ORDER_CONFIRMED,2026-02-17T10:53:00.000Z,NAG-F05,order confirmed at till
FEB-ACT-0055,EMP-F-10,ORDER,FEB-ORD-0055,ORDER_CONFIRMED,2026-02-09T09:18:00.000Z,MUM-F02,order confirmed at till
FEB-ACT-0002,EMP-F-46,ORDER,FEB-ORD-0002,ORDER_CONFIRMED,2026-02-05T10:52:00.000Z,MUM-F04,order confirmed at till
FEB-ACT-0071,EMP-F-73,ORDER,FEB-ORD-0071,ORDER_CONFIRMED,2026-02-08T12:33:00.000Z,MUM-F01,order confirmed at till
FEB-ACT-0066,EMP-F-19,ORDER,FEB-ORD-0066,ORDER_CONFIRMED,2026-02-19T11:17:00.000Z,MUM-F01,order confirmed at till
FEB-ACT-0045,EMP-F-93,ORDER,FEB-ORD-0045,ORDER_CONFIRMED,2026-02-01T11:06:00.000Z,MUM-F01,order confirmed at till
FEB-ACT-0074,EMP-F-68,ORDER,FEB-ORD-0074,ORDER_CONFIRMED,2026-02-08T09:43:00.000Z,MUM-F04,order confirmed at till
FEB-ACT-0041,EMP-F-50,ORDER,FEB-ORD-0041,ORDER_CONFIRMED,2026-02-07T10:30:00.000Z,MUM-F02,order confirmed at till
FEB-ACT-0023,EMP-F-32,ORDER,FEB-ORD-0023,ORDER_CONFIRMED,2026-02-10T12:54:00.000Z,NAG-F05,order confirmed at till
FEB-ACT-0067,EMP-F-64,ORDER,FEB-ORD-0067,ORDER_CONFIRMED,2026-02-25T13:48:00.000Z,MUM-F01,order confirmed at till
FEB-ACT-0069,EMP-F-44,ORDER,FEB-ORD-0069,ORDER_CONFIRMED,2026-02-12T12:22:00.000Z,PUN-F03,order confirmed at till
FEB-ACT-0056,EMP-F-80,ORDER,FEB-ORD-0056,ORDER_CONFIRMED,2026-02-10T09:10:00.000Z,MUM-F02,order confirmed at till
FEB-ACT-0040,EMP-F-12,ORDER,FEB-ORD-0040,ORDER_CONFIRMED,2026-02-20T09:42:00.000Z,NAG-F05,order confirmed at till
FEB-ACT-0070,EMP-F-23,ORDER,FEB-ORD-0070,ORDER_CONFIRMED,2026-02-21T11:21:00.000Z,MUM-F01,order confirmed at till
FEB-ACT-0072,EMP-F-27,ORDER,FEB-ORD-0072,ORDER_CONFIRMED,2026-02-23T10:50:00.000Z,MUM-F04,order confirmed at till
FEB-ACT-0031,EMP-F-32,ORDER,FEB-ORD-0031,ORDER_CONFIRMED,2026-02-24T12:59:00.000Z,NAG-F05,order confirmed at till
FEB-ACT-0033,EMP-F-76,ORDER,FEB-ORD-0033,ORDER_CONFIRMED,2026-02-26T11:20:00.000Z,NAG-F05,order confirmed at till
FEB-ACT-0005,EMP-F-84,ORDER,FEB-ORD-0005,ORDER_CONFIRMED,2026-02-17T10:06:00.000Z,MUM-F02,order confirmed at till
