OrderRef,BranchCode,GrossAmount,SaleTimestamp,Currency,LocationName,SourceBatch
FEB-ORD-0067,MUM-F01,3650,2026-02-25T13:48:00.000Z,INR,Andheri,BATCH-202602-01
FEB-ORD-0023,NAG-F05,8400,2026-02-10T12:54:00.000Z,INR,Dharampeth,BATCH-202602-01
FEB-ORD-0008,MUM-F01,6450,2026-02-04T09:49:00.000Z,INR,Andheri,BATCH-202602-05
FEB-ORD-0060,NAG-F05,4225,2026-02-18T12:46:00.000Z,INR,Dharampeth,BATCH-202602-04
FEB-ORD-0029,PUN-F03,7525,2026-02-21T12:54:00.000Z,INR,Baner,BATCH-202602-02
FEB-ORD-0041,MUM-F02,4825,2026-02-07T10:30:00.000Z,INR,Powai,BATCH-202602-03
FEB-ORD-0061,PUN-F03,6950,2026-02-13T13:05:00.000Z,INR,Baner,BATCH-202602-04
FEB-ORD-0028,PUN-F03,4625,2026-02-19T13:09:00.000Z,INR,Baner,BATCH-202602-05
FEB-ORD-0030,MUM-F02,4325,2026-02-10T10:39:00.000Z,INR,Powai,BATCH-202602-01
FEB-ORD-0055,MUM-F02,6975,2026-02-09T09:18:00.000Z,INR,Powai,BATCH-202602-05
FEB-ORD-0074,MUM-F04,1050,2026-02-08T09:43:00.000Z,INR,Bandra,BATCH-202602-04
FEB-ORD-0027,NAG-F05,7000,2026-02-26T13:07:00.000Z,INR,Dharampeth,BATCH-202602-02
FEB-ORD-0073,MUM-F02,4200,2026-02-16T10:41:00.000Z,INR,Powai,BATCH-202602-02
FEB-ORD-0057,MUM-F01,900,2026-02-16T13:17:00.000Z,INR,Andheri,BATCH-202602-02
FEB-ORD-0002,MUM-F04,5225,2026-02-05T10:52:00.000Z,INR,Bandra,BATCH-202602-01
FEB-ORD-0005,MUM-F02,5350,2026-02-17T10:06:00.000Z,INR,Powai,BATCH-202602-03
FEB-ORD-0031,NAG-F05,7725,2026-02-24T12:59:00.000Z,INR,Dharampeth,BATCH-202602-05
FEB-ORD-0001,NAG-F05,9550,2026-02-28T10:44:00.000Z,INR,Dharampeth,BATCH-202602-04
FEB-ORD-0032,NAG-F05,825,2026-02-25T13:24:00.000Z,INR,Dharampeth,BATCH-202602-01
FEB-ORD-0011,NAG-F05,3825,2026-02-13T13:01:00.000Z,INR,Dharampeth,BATCH-202602-04
FEB-ORD-0069,PUN-F03,1125,2026-02-12T12:22:00.000Z,INR,Baner,BATCH-202602-03
FEB-ORD-0025,NAG-F05,5950,2026-02-23T13:52:00.000Z,INR,Dharampeth,BATCH-202602-04
FEB-ORD-0052,PUN-F03,2925,2026-02-01T10:50:00.000Z,INR,Baner,BATCH-202602-02
FEB-ORD-0056,MUM-F02,6050,2026-02-10T09:10:00.000Z,INR,Powai,BATCH-202602-01
FEB-ORD-0068,MUM-F01,800,2026-02-19T09:58:00.000Z,INR,Andheri,BATCH-202602-05
FEB-ORD-0018,MUM-F01,6725,2026-02-13T13:52:00.000Z,INR,Andheri,BATCH-202602-04
FEB-ORD-0054,MUM-F02,3800,2026-02-25T13:05:00.000Z,INR,Powai,BATCH-202602-01
FEB-ORD-0046,MUM-F02,7200,2026-02-17T13:16:00.000Z,INR,Powai,BATCH-202602-03
FEB-ORD-0012,MUM-F04,4950,2026-02-02T13:42:00.000Z,INR,Bandra,BATCH-202602-03
FEB-ORD-0038,MUM-F02,6650,2026-02-13T13:29:00.000Z,INR,Powai,BATCH-202602-04
FEB-ORD-0021,MUM-F04,2450,2026-02-07T11:05:00.000Z,INR,Bandra,BATCH-202602-03
FEB-ORD-0076,MUM-F02,8800,2026-02-18T11:36:00.000Z,INR,Powai,BATCH-202602-04
FEB-ORD-0070,MUM-F01,4500,2026-02-21T11:21:00.000Z,INR,Andheri,BATCH-202602-02
FEB-ORD-0040,NAG-F05,8975,2026-02-20T09:42:00.000Z,INR,Dharampeth,BATCH-202602-01
FEB-ORD-0039,NAG-F05,5700,2026-02-07T09:53:00.000Z,INR,Dharampeth,BATCH-202602-03
FEB-ORD-0014,MUM-F04,600,2026-02-16T09:39:00.000Z,INR,Bandra,BATCH-202602-02
FEB-ORD-0020,MUM-F01,1000,2026-02-25T10:23:00.000Z,INR,Andheri,BATCH-202602-01
FEB-ORD-0019,MUM-F01,2800,2026-02-24T12:28:00.000Z,INR,Andheri,BATCH-202602-05
FEB-ORD-0013,MUM-F01,3150,2026-02-13T12:30:00.000Z,INR,Andheri,BATCH-202602-04
FEB-ORD-0036,MUM-F02,950,2026-02-20T10:46:00.000Z,INR,Powai,BATCH-202602-01
FEB-ORD-0048,MUM-F02,9450,2026-02-24T11:16:00.000Z,INR,Powai,BATCH-202602-05
FEB-ORD-0059,MUM-F04,6450,2026-02-22T11:56:00.000Z,INR,Bandra,BATCH-202602-03
FEB-ORD-0044,NAG-F05,8350,2026-02-04T09:34:00.000Z,INR,Dharampeth,BATCH-202602-05
FEB-ORD-0063,NAG-F05,2475,2026-02-25T12:28:00.000Z,INR,Dharampeth,BATCH-202602-01
FEB-ORD-0075,NAG-F05,9700,2026-02-02T10:50:00.000Z,INR,Dharampeth,BATCH-202602-03
