LogReference,OperatorID,SubjectType,SubjectRef,ActionType,ActionTimestamp,OutletCode,Shift
APR-ACT-0058,EMP-A-67,ORDER,APR-ORD-0058,ORDER_CONFIRMED,2026-04-26T11:26:00.000Z,CHE-A03,PM
APR-ACT-0001,EMP-A-84,ORDER,APR-ORD-0001,ORDER_CONFIRMED,2026-04-18T11:31:00.000Z,CHE-A04,PM
APR-ACT-0020,EMP-A-78,ORDER,APR-ORD-0020,ORDER_CONFIRMED,2026-04-22T11:04:00.000Z,CHE-A03,PM
APR-ACT-0027,EMP-A-88,ORDER,APR-ORD-0027,ORDER_CONFIRMED,2026-04-09T14:04:00.000Z,CHE-A04,PM
APR-ACT-0052,EMP-A-89,ORDER,APR-ORD-0052,ORDER_CONFIRMED,2026-04-03T11:01:00.000Z,HYD-A01,PM
APR-ACT-0074,EMP-A-20,ORDER,APR-ORD-0074,ORDER_CONFIRMED,2026-04-24T13:38:00.000Z,CHE-A04,PM
APR-ACT-0026,EMP-A-39,ORDER,APR-ORD-0026,ORDER_CONFIRMED,2026-04-26T14:32:00.000Z,CHE-A03,PM
APR-ACT-0010,EMP-A-21,ORDER,APR-ORD-0010,ORDER_CONFIRMED,2026-04-12T13:52:00.000Z,HYD-A02,PM
APR-ACT-0056,EMP-A-50,ORDER,APR-ORD-0056,ORDER_CONFIRMED,2026-04-17T14:25:00.000Z,CHE-A03,PM
APR-ACT-0009,EMP-A-86,ORDER,APR-ORD-0009,ORDER_CONFIRMED,2026-04-11T13:33:00.000Z,BLR-A05,PM
APR-ACT-0028,EMP-A-96,ORDER,APR-ORD-0028,ORDER_CONFIRMED,2026-04-24T11:44:00.000Z,BLR-A05,PM
APR-ACT-0068,EMP-A-55,ORDER,APR-ORD-0068,ORDER_CONFIRMED,2026-04-06T14:49:00.000Z,BLR-A05,PM
APR-ACT-0080,EMP-A-29,ORDER,APR-ORD-0080,ORDER_CONFIRMED,2026-04-02T15:23:00.000Z,CHE-A03,PM
APR-ACT-0053,EMP-A-68,ORDER,APR-ORD-0053,ORDER_CONFIRMED,2026-04-15T11:46:00.000Z,HYD-A02,PM
APR-ACT-0035,EMP-A-56,ORDER,APR-ORD-0035,ORDER_CONFIRMED,2026-04-10T15:40:00.000Z,CHE-A04,PM
APR-ACT-0041,EMP-A-95,ORDER,APR-ORD-0041,ORDER_CONFIRMED,2026-04-28T15:31:00.000Z,HYD-A01,PM
APR-ACT-0032,EMP-A-40,ORDER,APR-ORD-0032,ORDER_CONFIRMED,2026-04-06T15:08:00.000Z,HYD-A01,PM
APR-ACT-0072,EMP-A-21,ORDER,APR-ORD-0072,ORDER_CONFIRMED,2026-04-28T14:02:00.000Z,CHE-A04,PM
APR-ACT-0059,EMP-A-68,ORDER,APR-ORD-0059,ORDER_CONFIRMED,2026-04-29T15:55:00.000Z,BLR-A05,PM
APR-ACT-0049,EMP-A-32,ORDER,APR-ORD-0049,ORDER_CONFIRMED,2026-04-07T14:10:00.000Z,BLR-A05,PM
APR-ACT-0012,EMP-A-80,ORDER,APR-ORD-0012,ORDER_CONFIRMED,2026-04-13T14:04:00.000Z,BLR-A05,PM
APR-ACT-0055,EMP-A-38,ORDER,APR-ORD-0055,ORDER_CONFIRMED,2026-04-03T15:52:00.000Z,CHE-A03,PM
APR-ACT-0071,EMP-A-49,ORDER,APR-ORD-0071,ORDER_CONFIRMED,2026-04-04T14:24:00.000Z,BLR-A05,PM
APR-ACT-0030,EMP-A-57,ORDER,APR-ORD-0030,ORDER_CONFIRMED,2026-04-07T12:09:00.000Z,HYD-A01,PM
APR-ACT-0017,EMP-A-31,ORDER,APR-ORD-0017,ORDER_CONFIRMED,2026-04-04T13:59:00.000Z,CHE-A04,PM
APR-ACT-0046,EMP-A-54,ORDER,APR-ORD-0046,ORDER_CONFIRMED,2026-04-11T11:07:00.000Z,HYD-A02,PM
APR-ACT-0025,EMP-A-15,ORDER,APR-ORD-0025,ORDER_CONFIRMED,2026-04-12T13:19:00.000Z,HYD-A01,PM
APR-ACT-0045,EMP-A-19,ORDER,APR-ORD-0045,ORDER_CONFIRMED,2026-04-01T15:03:00.000Z,CHE-A04,PM
APR-ACT-0043,EMP-A-43,ORDER,APR-ORD-0043,ORDER_CONFIRMED,2026-04-23T15:46:00.000Z,HYD-A01,PM
APR-ACT-0011,EMP-A-25,ORDER,APR-ORD-0011,ORDER_CONFIRMED,2026-04-13T12:18:00.000Z,HYD-A02,PM
APR-ACT-0079,EMP-A-13,ORDER,APR-ORD-0079,ORDER_CONFIRMED,2026-04-23T14:36:00.000Z,HYD-A01,PM
APR-ACT-0057,EMP-A-59,ORDER,APR-ORD-0057,ORDER_CONFIRMED,2026-04-16T12:40:00.000Z,HYD-A01,PM
APR-ACT-0062,EMP-A-55,ORDER,APR-ORD-0062,ORDER_CONFIRMED,2026-04-06T13:40:00.000Z,CHE-A04,PM
APR-ACT-0070,EMP-A-40,ORDER,APR-ORD-0070,ORDER_CONFIRMED,2026-04-07T14:58:00.000Z,BLR-A05,PM
APR-ACT-0048,EMP-A-87,ORDER,APR-ORD-0048,ORDER_CONFIRMED,2026-04-18T11:46:00.000Z,BLR-A05,PM
APR-ACT-0023,EMP-A-15,ORDER,APR-ORD-0023,ORDER_CONFIRMED,2026-04-23T12:07:00.000Z,BLR-A05,PM
APR-ACT-0031,EMP-A-76,ORDER,APR-ORD-0031,ORDER_CONFIRMED,2026-04-15T15:15:00.000Z,HYD-A01,PM
APR-ACT-0021,EMP-A-23,ORDER,APR-ORD-0021,ORDER_CONFIRMED,2026-04-06T15:21:00.000Z,CHE-A03,PM
APR-ACT-0042,EMP-A-97,ORDER,APR-ORD-0042,ORDER_CONFIRMED,2026-04-29T15:14:00.000Z,CHE-A03,PM
APR-ACT-0069,EMP-A-95,ORDER,APR-ORD-0069,ORDER_CONFIRMED,2026-04-12T11:46:00.000Z,HYD-A01,PM
APR-ACT-0008,EMP-A-48,ORDER,APR-ORD-0008,ORDER_CONFIRMED,2026-04-02T13:04:00.000Z,BLR-A05,PM
APR-ACT-0029,EMP-A-53,ORDER,APR-ORD-0029,ORDER_CONFIRMED,2026-04-12T13:39:00.000Z,CHE-A03,PM
APR-ACT-0078,EMP-A-49,ORDER,APR-ORD-0078,ORDER_CONFIRMED,2026-04-05T11:07:00.000Z,HYD-A02,PM
APR-ACT-0015,EMP-A-39,ORDER,APR-ORD-0015,ORDER_CONFIRMED,2026-04-19T15:13:00.000Z,CHE-A03,PM
APR-ACT-0067,EMP-A-40,ORDER,APR-ORD-0067,ORDER_CONFIRMED,2026-04-15T14:08:00.000Z,BLR-A05,PM
APR-ACT-0007,EMP-A-60,ORDER,APR-ORD-0007,ORDER_CONFIRMED,2026-04-13T13:42:00.000Z,CHE-A03,PM
APR-ACT-0039,EMP-A-17,ORDER,APR-ORD-0039,ORDER_CONFIRMED,2026-04-10T13:58:00.000Z,HYD-A01,PM
APR-ACT-0047,EMP-A-88,ORDER,APR-ORD-0047,ORDER_CONFIRMED,2026-04-12T14:48:00.000Z,HYD-A01,PM
APR-ACT-0061,EMP-A-33,ORDER,APR-ORD-0061,ORDER_CONFIRMED,2026-04-02T13:18:00.000Z,BLR-A05,PM
APR-ACT-0038,EMP-A-13,ORDER,APR-ORD-0038,ORDER_CONFIRMED,2026-04-15T11:31:00.000Z,BLR-A05,PM
APR-ACT-0034,EMP-A-20,ORDER,APR-ORD-0034,ORDER_CONFIRMED,2026-04-24T12:29:00.000Z,HYD-A01,PM
APR-ACT-0076,EMP-A-66,ORDER,APR-ORD-0076,ORDER_CONFIRMED,2026-04-08T15:00:00.000Z,HYD-A02,PM
APR-ACT-0064,EMP-A-87,ORDER,APR-ORD-0064,ORDER_CONFIRMED,2026-04-15T13:52:00.000Z,CHE-A04,PM
APR-ACT-0083,EMP-A-38,ORDER,APR-ORD-0083,ORDER_CONFIRMED,2026-04-22T13:20:00.000Z,BLR-A05,PM
APR-ACT-0081,EMP-A-26,ORDER,APR-ORD-0081,ORDER_CONFIRMED,2026-04-04T12:30:00.000Z,CHE-A04,PM
APR-ACT-0024,EMP-A-72,ORDER,APR-ORD-0024,ORDER_CONFIRMED,2026-04-30T14:08:00.000Z,HYD-A02,PM
APR-ACT-0084,EMP-A-82,ORDER,APR-ORD-0084,ORDER_CONFIRMED,2026-04-07T14:01:00.000Z,BLR-A05,PM
APR-ACT-0065,EMP-A-74,ORDER,APR-ORD-0065,ORDER_CONFIRMED,2026-04-11T15:50:00.000Z,HYD-A01,PM
APR-ACT-0051,EMP-A-55,ORDER,APR-ORD-0051,ORDER_CONFIRMED,2026-04-17T14:48:00.000Z,HYD-A01,PM
APR-ACT-0005,EMP-A-86,ORDER,APR-ORD-0005,ORDER_CONFIRMED,2026-04-19T13:24:00.000Z,CHE-A03,PM
