StockTxn,TicketID,StockAction,UnitsMoved,ProductSKU,Cost,ReturnedValue,StockTime,CURRENCY,ProductLabel
MAY-MOV-0020,MAY-ORD-0020,SALE,1,SKU-MY-895,504,504,2026-05-04T09:35:00.000Z,INR,Sellable item
MAY-MOV-0053,MAY-ORD-0053,SALE,1,SKU-MY-366,1435,1435,2026-05-12T08:32:00.000Z,INR,Sellable item
MAY-MOV-R0018,MAY-ORD-0018,RETURN,1,SKU-MY-970,2125,2125,2026-05-20T12:51:00.000Z,INR,Returned item
MAY-MOV-0051,MAY-ORD-0051,SALE,1,SKU-MY-213,4018,4018,2026-05-17T10:20:00.000Z,INR,Sellable item
MAY-MOV-0042,MAY-ORD-0042,SALE,1,SKU-MY-424,2117,2117,2026-05-21T09:51:00.000Z,INR,Sellable item
MAY-MOV-0030,MAY-ORD-0030,SALE,1,SKU-MY-711,5066,5066,2026-05-16T11:15:00.000Z,INR,Sellable item
MAY-MOV-0068,MAY-ORD-0068,SALE,1,SKU-MY-678,1904,1904,2026-05-01T12:23:00.000Z,INR,Sellable item
MAY-MOV-0031,MAY-ORD-0031,SALE,1,SKU-MY-846,6027,6027,2026-05-23T10:38:00.000Z,INR,Sellable item
MAY-MOV-0069,MAY-ORD-0069,SALE,1,SKU-MY-940,7285,7285,2026-05-12T12:52:00.000Z,INR,Sellable item
MAY-MOV-0071,MAY-ORD-0071,SALE,1,SKU-MY-652,5217,5217,2026-05-26T08:28:00.000Z,INR,Sellable item
MAY-MOV-0003,MAY-ORD-0003,SALE,1,SKU-MY-755,5986,5986,2026-05-20T10:05:00.000Z,INR,Sellable item
MAY-MOV-0056,MAY-ORD-0056,SALE,1,SKU-MY-831,4510,4510,2026-05-06T11:55:00.000Z,INR,Sellable item
MAY-MOV-0017,MAY-ORD-0017,SALE,1,SKU-MY-570,2349,2349,2026-05-06T10:38:00.000Z,INR,Sellable item
MAY-MOV-0009,MAY-ORD-0009,SALE,1,SKU-MY-879,1175,1175,2026-05-18T09:42:00.000Z,INR,Sellable item
MAY-MOV-0021,MAY-ORD-0021,SALE,1,SKU-MY-474,2808,2808,2026-05-18T10:31:00.000Z,INR,Sellable item
MAY-MOV-0024,MAY-ORD-0024,SALE,1,SKU-MY-514,4352,4352,2026-05-31T10:40:00.000Z,INR,Sellable item
MAY-MOV-0046,MAY-ORD-0046,SALE,1,SKU-MY-226,6486,6486,2026-05-03T12:04:00.000Z,INR,Sellable item
MAY-MOV-0010,MAY-ORD-0010,SALE,1,SKU-MY-791,451,451,2026-05-22T09:41:00.000Z,INR,Sellable item
MAY-MOV-R0047,MAY-ORD-0047,RETURN,1,SKU-MY-665,2610,2610,2026-05-15T10:39:00.000Z,INR,Returned item
MAY-MOV-0064,MAY-ORD-0064,SALE,1,SKU-MY-155,2584,2584,2026-05-18T10:16:00.000Z,INR,Sellable item
MAY-MOV-0036,MAY-ORD-0036,SALE,1,SKU-MY-102,2911,2911,2026-05-30T11:34:00.000Z,INR,Sellable item
MAY-MOV-0022,MAY-ORD-0022,SALE,1,SKU-MY-604,3813,3813,2026-05-03T08:05:00.000Z,INR,Sellable item
MAY-MOV-0048,MAY-ORD-0048,SALE,1,SKU-MY-602,1131,1131,2026-05-21T12:36:00.000Z,INR,Sellable item
MAY-MOV-0015,MAY-ORD-0015,SALE,1,SKU-MY-302,423,423,2026-05-26T08:45:00.000Z,INR,Sellable item
MAY-MOV-0067,MAY-ORD-0067,SALE,1,SKU-MY-133,5453,5453,2026-05-28T11:13:00.000Z,INR,Sellable item
MAY-MOV-0029,MAY-ORD-0029,SALE,1,SKU-MY-525,1504,1504,2026-05-26T08:11:00.000Z,INR,Sellable item
MAY-MOV-0052,MAY-ORD-0052,SALE,1,SKU-MY-178,1271,1271,2026-05-20T10:36:00.000Z,INR,Sellable item
MAY-MOV-0057,MAY-ORD-0057,SALE,1,SKU-MY-209,451,451,2026-05-11T12:22:00.000Z,INR,Sellable item
MAY-MOV-0011,MAY-ORD-0011,SALE,1,SKU-MY-979,7050,7050,2026-05-29T09:04:00.000Z,INR,Sellable item
MAY-MOV-0049,MAY-ORD-0049,SALE,1,SKU-MY-138,1681,1681,2026-05-07T09:17:00.000Z,INR,Sellable item
MAY-MOV-0034,MAY-ORD-0034,SALE,1,SKU-MY-584,4176,4176,2026-05-03T10:42:00.000Z,INR,Sellable item
MAY-MOV-0025,MAY-ORD-0025,SALE,1,SKU-MY-449,1296,1296,2026-05-05T12:37:00.000Z,INR,Sellable item
MAY-MOV-0033,MAY-ORD-0033,SALE,1,SKU-MY-106,3672,3672,2026-05-21T12:54:00.000Z,INR,Sellable item
MAY-MOV-R0025,MAY-ORD-0025,RETURN,1,SKU-MY-449,1296,1296,2026-05-10T12:37:00.000Z,INR,Returned item
MAY-MOV-0065,MAY-ORD-0065,SALE,1,SKU-MY-387,1827,1827,2026-05-27T08:31:00.000Z,INR,Sellable item
MAY-MOV-0063,MAY-ORD-0063,SALE,1,SKU-MY-533,600,600,2026-05-11T09:47:00.000Z,INR,Sellable item
MAY-MOV-0043,MAY-ORD-0043,SALE,1,SKU-MY-404,5986,5986,2026-05-09T10:59:00.000Z,INR,Sellable item
MAY-MOV-0070,MAY-ORD-0070,SALE,1,SKU-MY-231,4147,4147,2026-05-09T12:36:00.000Z,INR,Sellable item
MAY-MOV-0054,MAY-ORD-0054,SALE,1,SKU-MY-874,3672,3672,2026-05-27T10:53:00.000Z,INR,Sellable item
MAY-MOV-0044,MAY-ORD-0044,SALE,1,SKU-MY-399,1056,1056,2026-05-13T09:17:00.000Z,INR,Sellable item
MAY-MOV-0027,MAY-ORD-0027,SALE,1,SKU-MY-723,5330,5330,2026-05-18T12:45:00.000Z,INR,Sellable item
MAY-MOV-0001,MAY-ORD-0001,SALE,1,SKU-MY-473,4469,4469,2026-05-14T12:14:00.000Z,INR,Sellable item
MAY-MOV-0039,MAY-ORD-0039,SALE,1,SKU-MY-716,943,943,2026-05-21T11:03:00.000Z,INR,Sellable item
MAY-MOV-0014,MAY-ORD-0014,SALE,1,SKU-MY-537,2501,2501,2026-05-02T11:55:00.000Z,INR,Sellable item
MAY-MOV-0013,MAY-ORD-0013,SALE,1,SKU-MY-727,4223,4223,2026-05-26T09:41:00.000Z,INR,Sellable item
MAY-MOV-0037,MAY-ORD-0037,SALE,1,SKU-MY-892,3120,3120,2026-05-05T10:27:00.000Z,INR,Sellable item
MAY-MOV-0026,MAY-ORD-0026,SALE,1,SKU-MY-521,1394,1394,2026-05-18T11:39:00.000Z,INR,Sellable item
MAY-MOV-0050,MAY-ORD-0050,SALE,1,SKU-MY-112,2788,2788,2026-05-31T10:58:00.000Z,INR,Sellable item
MAY-MOV-R0024,MAY-ORD-0024,RETURN,1,SKU-MY-514,4352,4352,2026-06-05T10:40:00.000Z,INR,Returned item
MAY-MOV-0058,MAY-ORD-0058,SALE,1,SKU-MY-849,6674,6674,2026-05-30T12:26:00.000Z,INR,Sellable item
MAY-MOV-0061,MAY-ORD-0061,SALE,1,SKU-MY-710,1054,1054,2026-05-29T12:02:00.000Z,INR,Sellable item
MAY-MOV-0006,MAY-ORD-0006,SALE,1,SKU-MY-517,5264,5264,2026-05-05T08:44:00.000Z,INR,Sellable item
MAY-MOV-0055,MAY-ORD-0055,SALE,1,SKU-MY-179,1200,1200,2026-05-22T11:06:00.000Z,INR,Sellable item
MAY-MOV-0040,MAY-ORD-0040,SALE,1,SKU-MY-949,696,696,2026-05-15T10:59:00.000Z,INR,Sellable item
MAY-MOV-0059,MAY-ORD-0059,SALE,1,SKU-MY-906,2668,2668,2026-05-08T10:04:00.000Z,INR,Sellable item
MAY-MOV-0023,MAY-ORD-0023,SALE,1,SKU-MY-151,1392,1392,2026-05-05T10:49:00.000Z,INR,Sellable item
MAY-MOV-0041,MAY-ORD-0041,SALE,1,SKU-MY-115,1128,1128,2026-05-07T08:56:00.000Z,INR,Sellable item
MAY-MOV-0047,MAY-ORD-0047,SALE,1,SKU-MY-665,2610,2610,2026-05-09T10:39:00.000Z,INR,Sellable item
MAY-MOV-0062,MAY-ORD-0062,SALE,1,SKU-MY-698,2550,2550,2026-05-30T12:37:00.000Z,INR,Sellable item
MAY-MOV-0035,MAY-ORD-0035,SALE,1,SKU-MY-248,2679,2679,2026-05-07T08:57:00.000Z,INR,Sellable item
MAY-MOV-0008,MAY-ORD-0008,SALE,1,SKU-MY-257,1845,1845,2026-05-30T08:11:00.000Z,INR,Sellable item
