CaptureID,TicketID,CaptureAmount,CaptureTime,CURRENCY,GatewayCharge,Instrument,AuthCode
MAY-PAY-0038,MAY-ORD-0038,5800,2026-05-06T11:09:00.000Z,INR,127.6,UPI,00
MAY-PAY-0031,MAY-ORD-0031,14700,2026-05-23T10:38:00.000Z,INR,323.4,CARD,00
MAY-PAY-0061,MAY-ORD-0061,3100,2026-05-29T12:02:00.000Z,INR,68.2,NETBANKING,00
MAY-PAY-0064,MAY-ORD-0064,7600,2026-05-18T10:16:00.000Z,INR,167.2,UPI,00
MAY-PAY-0032,MAY-ORD-0032,7600,2026-05-21T12:42:00.000Z,INR,167.2,WALLET,00
MAY-PAY-0048,MAY-ORD-0048,3900,2026-05-21T12:36:00.000Z,INR,85.8,NETBANKING,00
MAY-PAY-0006,MAY-ORD-0006,11200,2026-05-05T08:44:00.000Z,INR,246.4,UPI,00
MAY-PAY-0054,MAY-ORD-0054,10800,2026-05-27T10:53:00.000Z,INR,237.6,WALLET,00
MAY-PAY-0066,MAY-ORD-0066,3800,2026-05-18T10:27:00.000Z,INR,83.6,UPI,00
PAY-AMB-May_2026-0006,MAY-ORD-0006,11200,2026-05-05T08:44:45.000Z,INR,246.4,UPI,00
MAY-PAY-0033,MAY-ORD-0033,10800,2026-05-21T12:54:00.000Z,INR,237.6,CARD,00
MAY-PAY-0050,MAY-ORD-0050,8200,2026-05-31T10:58:00.000Z,INR,180.4,CARD,00
MAY-PAY-0005,MAY-ORD-0005,7900,2026-05-16T10:38:00.000Z,INR,173.8,WALLET,00
