DocID,TicketID,DocAmount,DocCreatedAt,CURRENCY,DocClass,DocStatus
MAY-INV-0050,MAY-ORD-0050,8200,2026-05-31T10:58:00.000Z,INR,SALE,ACTIVE
MAY-INV-0006,MAY-ORD-0006,11200,2026-05-05T08:44:00.000Z,INR,SALE,ACTIVE
MAY-INV-R0018,MAY-ORD-0018,-7000,2026-05-20T12:51:00.000Z,INR,REVERSAL,REVERSED
MAY-INV-0022,MAY-ORD-0022,9300,2026-05-03T08:05:00.000Z,INR,SALE,ACTIVE
MAY-INV-0018,MAY-ORD-0018,7000,2026-05-18T12:51:00.000Z,INR,SALE,ACTIVE
MAY-INV-0035,MAY-ORD-0035,5700,2026-05-07T08:57:00.000Z,INR,SALE,ACTIVE
MAY-INV-0046,MAY-ORD-0046,13800,2026-05-03T12:04:00.000Z,INR,SALE,ACTIVE
MAY-INV-0012,MAY-ORD-0012,7300,2026-05-22T09:17:00.000Z,INR,SALE,ACTIVE
MAY-INV-0045,MAY-ORD-0045,2800,2026-05-01T08:31:00.000Z,INR,SALE,ACTIVE
MAY-INV-0072,MAY-ORD-0072,5700,2026-05-03T10:28:00.000Z,INR,SALE,ACTIVE
MAY-INV-0060,MAY-ORD-0060,7700,2026-05-25T12:06:00.000Z,INR,SALE,ACTIVE
MAY-INV-0039,MAY-ORD-0039,2300,2026-05-21T11:03:00.000Z,INR,SALE,ACTIVE
MAY-INV-0047,MAY-ORD-0047,9000,2026-05-09T10:39:00.000Z,INR,SALE,ACTIVE
MAY-INV-0026,MAY-ORD-0026,3400,2026-05-18T11:39:00.000Z,INR,SALE,ACTIVE
MAY-INV-0040,MAY-ORD-0040,2400,2026-05-15T10:59:00.000Z,INR,SALE,ACTIVE
MAY-INV-0011,MAY-ORD-0011,15000,2026-05-29T09:04:00.000Z,INR,SALE,ACTIVE
MAY-INV-0016,MAY-ORD-0016,10100,2026-05-10T08:32:00.000Z,INR,SALE,ACTIVE
MAY-INV-0020,MAY-ORD-0020,2100,2026-05-04T09:35:00.000Z,INR,SALE,ACTIVE
MAY-INV-0056,MAY-ORD-0056,11000,2026-05-06T11:55:00.000Z,INR,SALE,ACTIVE
MAY-INV-0015,MAY-ORD-0015,900,2026-05-26T08:45:00.000Z,INR,SALE,ACTIVE
MAY-INV-0036,MAY-ORD-0036,7100,2026-05-30T11:34:00.000Z,INR,SALE,ACTIVE
MAY-INV-R0057,MAY-ORD-0057,-1100,2026-05-18T12:22:00.000Z,INR,REVERSAL,REVERSED
MAY-INV-0058,MAY-ORD-0058,14200,2026-05-30T12:26:00.000Z,INR,SALE,ACTIVE
MAY-INV-0010,MAY-ORD-0010,1100,2026-05-22T09:41:00.000Z,INR,SALE,ACTIVE
MAY-INV-0068,MAY-ORD-0068,5600,2026-05-01T12:23:00.000Z,INR,SALE,ACTIVE
MAY-INV-0004,MAY-ORD-0004,2700,2026-05-28T09:22:00.000Z,INR,SALE,ACTIVE
MAY-INV-0044,MAY-ORD-0044,4400,2026-05-13T09:17:00.000Z,INR,SALE,ACTIVE
MAY-INV-0055,MAY-ORD-0055,5000,2026-05-22T11:06:00.000Z,INR,SALE,ACTIVE
MAY-INV-0034,MAY-ORD-0034,14400,2026-05-03T10:42:00.000Z,INR,SALE,ACTIVE
MAY-INV-0062,MAY-ORD-0062,7500,2026-05-30T12:37:00.000Z,INR,SALE,ACTIVE
MAY-INV-0009,MAY-ORD-0009,2500,2026-05-18T09:42:00.000Z,INR,SALE,ACTIVE
MAY-INV-0066,MAY-ORD-0066,3800,2026-05-18T10:27:00.000Z,INR,SALE,ACTIVE
MAY-INV-0033,MAY-ORD-0033,10800,2026-05-21T12:54:00.000Z,INR,SALE,ACTIVE
MAY-INV-0052,MAY-ORD-0052,3100,2026-05-20T10:36:00.000Z,INR,SALE,ACTIVE
MAY-INV-0024,MAY-ORD-0024,12800,2026-05-31T10:40:00.000Z,INR,SALE,ACTIVE
MAY-INV-0028,MAY-ORD-0028,10400,2026-05-10T08:43:00.000Z,INR,SALE,ACTIVE
MAY-INV-0051,MAY-ORD-0051,9800,2026-05-17T10:20:00.000Z,INR,SALE,ACTIVE
MAY-INV-0013,MAY-ORD-0013,10300,2026-05-26T09:41:00.000Z,INR,SALE,ACTIVE
MAY-INV-R0025,MAY-ORD-0025,-5400,2026-05-10T12:37:00.000Z,INR,REVERSAL,REVERSED
MAY-INV-0067,MAY-ORD-0067,13300,2026-05-28T11:13:00.000Z,INR,SALE,ACTIVE
MAY-INV-0041,MAY-ORD-0041,4700,2026-05-07T08:56:00.000Z,INR,SALE,ACTIVE
MAY-INV-0043,MAY-ORD-0043,14600,2026-05-09T10:59:00.000Z,INR,SALE,ACTIVE
MAY-INV-0021,MAY-ORD-0021,11700,2026-05-18T10:31:00.000Z,INR,SALE,ACTIVE
MAY-INV-R0024,MAY-ORD-0024,-12800,2026-06-05T10:40:00.000Z,INR,REVERSAL,REVERSED
MAY-INV-0019,MAY-ORD-0019,11100,2026-05-16T10:15:00.000Z,INR,SALE,ACTIVE
MAY-INV-0029,MAY-ORD-0029,3200,2026-05-26T08:11:00.000Z,INR,SALE,ACTIVE
MAY-INV-0038,MAY-ORD-0038,5800,2026-05-06T11:09:00.000Z,INR,SALE,ACTIVE
MAY-INV-0031,MAY-ORD-0031,14700,2026-05-23T10:38:00.000Z,INR,SALE,ACTIVE
MAY-INV-0061,MAY-ORD-0061,3100,2026-05-29T12:02:00.000Z,INR,SALE,ACTIVE
MAY-INV-0064,MAY-ORD-0064,7600,2026-05-18T10:16:00.000Z,INR,SALE,ACTIVE
MAY-INV-0070,MAY-ORD-0070,14300,2026-05-09T12:36:00.000Z,INR,SALE,ACTIVE
MAY-INV-0048,MAY-ORD-0048,3900,2026-05-21T12:36:00.000Z,INR,SALE,ACTIVE
MAY-INV-0007,MAY-ORD-0007,8100,2026-05-12T08:19:00.000Z,INR,SALE,ACTIVE
MAY-INV-0054,MAY-ORD-0054,10800,2026-05-27T10:53:00.000Z,INR,SALE,ACTIVE
MAY-INV-0065,MAY-ORD-0065,6300,2026-05-27T08:31:00.000Z,INR,SALE,ACTIVE
MAY-INV-0008,MAY-ORD-0008,4500,2026-05-30T08:11:00.000Z,INR,SALE,ACTIVE
MAY-INV-0032,MAY-ORD-0032,7600,2026-05-21T12:42:00.000Z,INR,SALE,ACTIVE
MAY-INV-0049,MAY-ORD-0049,4100,2026-05-07T09:17:00.000Z,INR,SALE,ACTIVE
MAY-INV-0005,MAY-ORD-0005,7900,2026-05-16T10:38:00.000Z,INR,SALE,ACTIVE
