ActivityNumber,AgentID,EntityType,EntityNumber,ActivityCode,ActivityTimestamp,SiteCode,Comment
JUL-ACT-0017,EMP-JL-70,ORDER,JUL-ORD-0017,ORDER_CONFIRMED,2026-07-17T16:07:00.000Z,CHN-JL01,order confirmed at till
JUL-ACT-0002,EMP-JL-68,ORDER,JUL-ORD-0002,ORDER_CONFIRMED,2026-07-11T14:56:00.000Z,MYS-JL05,order confirmed at till
JUL-ACT-0053,EMP-JL-68,ORDER,JUL-ORD-0053,ORDER_CONFIRMED,2026-07-02T15:52:00.000Z,MYS-JL05,order confirmed at till
JUL-ACT-0054,EMP-JL-91,ORDER,JUL-ORD-0054,ORDER_CONFIRMED,2026-07-02T17:52:00.000Z,CHN-JL02,order confirmed at till
JUL-ACT-0041,EMP-JL-62,ORDER,JUL-ORD-0041,ORDER_CONFIRMED,2026-07-21T13:27:00.000Z,CHN-JL02,order confirmed at till
JUL-ACT-0034,EMP-JL-55,ORDER,JUL-ORD-0034,ORDER_CONFIRMED,2026-07-06T14:51:00.000Z,KOC-JL04,order confirmed at till
JUL-ACT-0008,EMP-JL-10,ORDER,JUL-ORD-0008,ORDER_CONFIRMED,2026-07-23T17:39:00.000Z,CBE-JL03,order confirmed at till
JUL-ACT-0018,EMP-JL-50,ORDER,JUL-ORD-0018,ORDER_CONFIRMED,2026-07-27T16:09:00.000Z,CHN-JL01,order confirmed at till
JUL-ACT-0014,EMP-JL-75,ORDER,JUL-ORD-0014,ORDER_CONFIRMED,2026-07-26T17:10:00.000Z,CHN-JL02,order confirmed at till
JUL-ACT-0031,EMP-JL-86,ORDER,JUL-ORD-0031,ORDER_CONFIRMED,2026-07-08T16:44:00.000Z,CBE-JL03,order confirmed at till
JUL-ACT-0029,EMP-JL-15,ORDER,JUL-ORD-0029,ORDER_CONFIRMED,2026-07-01T17:47:00.000Z,CBE-JL03,order confirmed at till
JUL-ACT-0011,EMP-JL-85,ORDER,JUL-ORD-0011,ORDER_CONFIRMED,2026-07-21T13:50:00.000Z,MYS-JL05,order confirmed at till
JUL-ACT-0069,EMP-JL-97,ORDER,JUL-ORD-0069,ORDER_CONFIRMED,2026-07-06T14:29:00.000Z,CHN-JL01,order confirmed at till
JUL-ACT-0070,EMP-JL-85,ORDER,JUL-ORD-0070,ORDER_CONFIRMED,2026-07-27T13:41:00.000Z,CHN-JL01,order confirmed at till
JUL-ACT-R0025,EMP-JL-31,REFUND,JUL-REF-0025,REFUND_APPROVED,2026-07-04T13:02:00.000Z,CHN-JL02,standard return workflow
JUL-ACT-0060,EMP-JL-53,ORDER,JUL-ORD-0060,ORDER_CONFIRMED,2026-07-23T14:25:00.000Z,CHN-JL01,order confirmed at till
JUL-ACT-0025,EMP-JL-88,ORDER,JUL-ORD-0025,ORDER_CONFIRMED,2026-07-03T13:02:00.000Z,CHN-JL02,order confirmed at till
JUL-ACT-0062,EMP-JL-57,ORDER,JUL-ORD-0062,ORDER_CONFIRMED,2026-07-21T15:19:00.000Z,MYS-JL05,order confirmed at till
JUL-ACT-0028,EMP-JL-55,ORDER,JUL-ORD-0028,ORDER_CONFIRMED,2026-07-07T14:11:00.000Z,CHN-JL01,order confirmed at till
JUL-ACT-0064,EMP-JL-89,ORDER,JUL-ORD-0064,ORDER_CONFIRMED,2026-07-19T14:29:00.000Z,MYS-JL05,order confirmed at till
JUL-ACT-0015,EMP-JL-71,ORDER,JUL-ORD-0015,ORDER_CONFIRMED,2026-07-15T16:49:00.000Z,KOC-JL04,order confirmed at till
JUL-ACT-0036,EMP-JL-62,ORDER,JUL-ORD-0036,ORDER_CONFIRMED,2026-07-17T16:48:00.000Z,KOC-JL04,order confirmed at till
JUL-ACT-0043,EMP-JL-85,ORDER,JUL-ORD-0043,ORDER_CONFIRMED,2026-07-24T13:34:00.000Z,KOC-JL04,order confirmed at till
JUL-ACT-0055,EMP-JL-24,ORDER,JUL-ORD-0055,ORDER_CONFIRMED,2026-07-10T13:49:00.000Z,KOC-JL04,order confirmed at till
JUL-ACT-0072,EMP-JL-17,ORDER,JUL-ORD-0072,ORDER_CONFIRMED,2026-07-01T15:26:00.000Z,KOC-JL04,order confirmed at till
JUL-ACT-0030,EMP-JL-29,ORDER,JUL-ORD-0030,ORDER_CONFIRMED,2026-07-31T13:15:00.000Z,CHN-JL02,order confirmed at till
JUL-ACT-0012,EMP-JL-55,ORDER,JUL-ORD-0012,ORDER_CONFIRMED,2026-07-14T13:28:00.000Z,CBE-JL03,order confirmed at till
JUL-ACT-0009,EMP-JL-54,ORDER,JUL-ORD-0009,ORDER_CONFIRMED,2026-07-07T14:24:00.000Z,CHN-JL01,order confirmed at till
JUL-ACT-0004,EMP-JL-72,ORDER,JUL-ORD-0004,ORDER_CONFIRMED,2026-07-01T13:34:00.000Z,MYS-JL05,order confirmed at till
JUL-ACT-0074,EMP-JL-86,ORDER,JUL-ORD-0074,ORDER_CONFIRMED,2026-07-28T16:26:00.000Z,CHN-JL02,order confirmed at till
JUL-ACT-0050,EMP-JL-88,ORDER,JUL-ORD-0050,ORDER_CONFIRMED,2026-07-31T14:20:00.000Z,MYS-JL05,order confirmed at till
JUL-ACT-0056,EMP-JL-71,ORDER,JUL-ORD-0056,ORDER_CONFIRMED,2026-07-18T13:31:00.000Z,CHN-JL02,order confirmed at till
JUL-ACT-0071,EMP-JL-67,ORDER,JUL-ORD-0071,ORDER_CONFIRMED,2026-07-25T17:00:00.000Z,MYS-JL05,order confirmed at till
JUL-ACT-0059,EMP-JL-90,ORDER,JUL-ORD-0059,ORDER_CONFIRMED,2026-07-06T15:41:00.000Z,CHN-JL02,order confirmed at till
JUL-ACT-0045,EMP-JL-21,ORDER,JUL-ORD-0045,ORDER_CONFIRMED,2026-07-15T14:36:00.000Z,CHN-JL02,order confirmed at till
JUL-ACT-0038,EMP-JL-15,ORDER,JUL-ORD-0038,ORDER_CONFIRMED,2026-07-15T16:45:00.000Z,MYS-JL05,order confirmed at till
JUL-ACT-0033,EMP-JL-90,ORDER,JUL-ORD-0033,ORDER_CONFIRMED,2026-07-18T16:44:00.000Z,KOC-JL04,order confirmed at till
JUL-ACT-0046,EMP-JL-78,ORDER,JUL-ORD-0046,ORDER_CONFIRMED,2026-07-31T14:49:00.000Z,CHN-JL01,order confirmed at till
JUL-ACT-0007,EMP-JL-46,ORDER,JUL-ORD-0007,ORDER_CONFIRMED,2026-07-22T17:30:00.000Z,CHN-JL02,order confirmed at till
JUL-ACT-R0064,EMP-JL-16,REFUND,JUL-REF-0064,REFUND_APPROVED,2026-07-20T14:29:00.000Z,MYS-JL05,standard return workflow
JUL-ACT-0039,EMP-JL-64,ORDER,JUL-ORD-0039,ORDER_CONFIRMED,2026-07-25T16:36:00.000Z,CHN-JL01,order confirmed at till
JUL-ACT-0019,EMP-JL-87,ORDER,JUL-ORD-0019,ORDER_CONFIRMED,2026-07-23T14:25:00.000Z,CBE-JL03,order confirmed at till
JUL-ACT-0021,EMP-JL-44,ORDER,JUL-ORD-0021,ORDER_CONFIRMED,2026-07-25T15:13:00.000Z,KOC-JL04,order confirmed at till
JUL-ACT-0049,EMP-JL-50,ORDER,JUL-ORD-0049,ORDER_CONFIRMED,2026-07-25T13:56:00.000Z,CHN-JL02,order confirmed at till
JUL-ACT-0044,EMP-JL-50,ORDER,JUL-ORD-0044,ORDER_CONFIRMED,2026-07-25T14:13:00.000Z,KOC-JL04,order confirmed at till
JUL-ACT-0020,EMP-JL-31,ORDER,JUL-ORD-0020,ORDER_CONFIRMED,2026-07-12T13:31:00.000Z,MYS-JL05,order confirmed at till
JUL-ACT-0047,EMP-JL-20,ORDER,JUL-ORD-0047,ORDER_CONFIRMED,2026-07-28T15:18:00.000Z,CBE-JL03,order confirmed at till
JUL-ACT-0068,EMP-JL-50,ORDER,JUL-ORD-0068,ORDER_CONFIRMED,2026-07-11T17:55:00.000Z,CHN-JL01,order confirmed at till
JUL-ACT-0023,EMP-JL-55,ORDER,JUL-ORD-0023,ORDER_CONFIRMED,2026-07-14T17:14:00.000Z,CBE-JL03,order confirmed at till
JUL-ACT-0048,EMP-JL-67,ORDER,JUL-ORD-0048,ORDER_CONFIRMED,2026-07-03T16:34:00.000Z,MYS-JL05,order confirmed at till
JUL-ACT-0026,EMP-JL-95,ORDER,JUL-ORD-0026,ORDER_CONFIRMED,2026-07-01T13:40:00.000Z,KOC-JL04,order confirmed at till
JUL-ACT-0037,EMP-JL-65,ORDER,JUL-ORD-0037,ORDER_CONFIRMED,2026-07-21T14:00:00.000Z,CHN-JL02,order confirmed at till
JUL-ACT-0065,EMP-JL-59,ORDER,JUL-ORD-0065,ORDER_CONFIRMED,2026-07-13T13:54:00.000Z,MYS-JL05,order confirmed at till
JUL-ACT-0058,EMP-JL-23,ORDER,JUL-ORD-0058,ORDER_CONFIRMED,2026-07-18T16:47:00.000Z,CHN-JL01,order confirmed at till
JUL-ACT-0042,EMP-JL-13,ORDER,JUL-ORD-0042,ORDER_CONFIRMED,2026-07-30T15:39:00.000Z,CHN-JL02,order confirmed at till
JUL-ACT-0035,EMP-JL-95,ORDER,JUL-ORD-0035,ORDER_CONFIRMED,2026-07-14T16:31:00.000Z,CBE-JL03,order confirmed at till
JUL-ACT-0040,EMP-JL-36,ORDER,JUL-ORD-0040,ORDER_CONFIRMED,2026-07-09T17:13:00.000Z,MYS-JL05,order confirmed at till
JUL-ACT-0073,EMP-JL-90,ORDER,JUL-ORD-0073,ORDER_CONFIRMED,2026-07-20T14:30:00.000Z,CHN-JL02,order confirmed at till
JUL-ACT-R0071,EMP-JL-73,REFUND,JUL-REF-0071,REFUND_APPROVED,2026-07-26T17:00:00.000Z,MYS-JL05,standard return workflow
JUL-ACT-0022,EMP-JL-67,ORDER,JUL-ORD-0022,ORDER_CONFIRMED,2026-07-21T15:08:00.000Z,CHN-JL02,order confirmed at till
JUL-ACT-0013,EMP-JL-13,ORDER,JUL-ORD-0013,ORDER_CONFIRMED,2026-07-31T15:12:00.000Z,MYS-JL05,order confirmed at till
JUL-ACT-0063,EMP-JL-48,ORDER,JUL-ORD-0063,ORDER_CONFIRMED,2026-07-17T14:26:00.000Z,CBE-JL03,order confirmed at till
JUL-ACT-0066,EMP-JL-46,ORDER,JUL-ORD-0066,ORDER_CONFIRMED,2026-07-18T13:42:00.000Z,KOC-JL04,order confirmed at till
JUL-ACT-0005,EMP-JL-30,ORDER,JUL-ORD-0005,ORDER_CONFIRMED,2026-07-23T17:03:00.000Z,MYS-JL05,order confirmed at till
