RetailOrder,SiteCode,OrderGross,EnteredAt,Currency,SiteName,POSDevice,MerchantReference
JUL-ORD-0024,CHN-JL02,3920,2026-07-14T17:54:00.000Z,INR,Anna Nagar,CHN-JL02-T4,MR-202607-0024
JUL-ORD-0049,CHN-JL02,10400,2026-07-25T13:56:00.000Z,INR,Anna Nagar,CHN-JL02-T4,MR-202607-0049
JUL-ORD-0059,CHN-JL02,3160,2026-07-06T15:41:00.000Z,INR,Anna Nagar,CHN-JL02-T4,MR-202607-0059
JUL-ORD-0056,CHN-JL02,7160,2026-07-18T13:31:00.000Z,INR,Anna Nagar,CHN-JL02-T1,MR-202607-0056
JUL-ORD-0029,CBE-JL03,4560,2026-07-01T17:47:00.000Z,INR,RS Puram,CBE-JL03-T3,MR-202607-0029
JUL-ORD-0047,CBE-JL03,2480,2026-07-28T15:18:00.000Z,INR,RS Puram,CBE-JL03-T4,MR-202607-0047
JUL-ORD-0005,MYS-JL05,6480,2026-07-23T17:03:00.000Z,INR,Vijayanagar,MYS-JL05-T3,MR-202607-0005
JUL-ORD-0003,CBE-JL03,720,2026-07-31T13:05:00.000Z,INR,RS Puram,CBE-JL03-T2,MR-202607-0003
JUL-ORD-0066,KOC-JL04,7920,2026-07-18T13:42:00.000Z,INR,Kakkanad,KOC-JL04-T4,MR-202607-0066
JUL-ORD-0032,CHN-JL01,10400,2026-07-15T16:07:00.000Z,INR,T Nagar,CHN-JL01-T2,MR-202607-0032
JUL-ORD-0055,KOC-JL04,3720,2026-07-10T13:49:00.000Z,INR,Kakkanad,KOC-JL04-T4,MR-202607-0055
JUL-ORD-0057,MYS-JL05,6440,2026-07-11T13:55:00.000Z,INR,Vijayanagar,MYS-JL05-T3,MR-202607-0057
JUL-ORD-0023,CBE-JL03,10360,2026-07-14T17:14:00.000Z,INR,RS Puram,CBE-JL03-T3,MR-202607-0023
JUL-ORD-0017,CHN-JL01,9400,2026-07-17T16:07:00.000Z,INR,T Nagar,CHN-JL01-T1,MR-202607-0017
JUL-ORD-0070,CHN-JL01,7320,2026-07-27T13:41:00.000Z,INR,T Nagar,CHN-JL01-T1,MR-202607-0070
JUL-ORD-0071,MYS-JL05,7640,2026-07-25T17:00:00.000Z,INR,Vijayanagar,MYS-JL05-T1,MR-202607-0071
JUL-ORD-0001,KOC-JL04,720,2026-07-18T14:48:00.000Z,INR,Kakkanad,KOC-JL04-T1,MR-202607-0001
JUL-ORD-0021,KOC-JL04,880,2026-07-25T15:13:00.000Z,INR,Kakkanad,KOC-JL04-T2,MR-202607-0021
JUL-ORD-0073,CHN-JL02,4400,2026-07-20T14:30:00.000Z,INR,Anna Nagar,CHN-JL02-T3,MR-202607-0073
