MovementRef,ReceiptNo,Movement,Units,SKU,UnitCost,InventoryValue,OccurredAt,Currency,Notes
JAN-MOV-0039,JAN-ORD-0039,SALE,1,SKU-J-328,1316.6,1316.6,2026-01-29T08:23:00.000Z,INR,sale posted
JAN-MOV-0008,JAN-ORD-0008,SALE,1,SKU-J-985,1508.8,1508.8,2026-01-26T09:06:00.000Z,INR,sale posted
JAN-MOV-0059,JAN-ORD-0059,SALE,1,SKU-J-992,2419,2419,2026-01-13T07:00:00.000Z,INR,sale posted
JAN-MOV-0068,JAN-ORD-0068,SALE,1,SKU-J-750,1137.6,1137.6,2026-01-29T07:47:00.000Z,INR,sale posted
JAN-MOV-0004,JAN-ORD-0004,SALE,1,SKU-J-968,893.8,893.8,2026-01-14T11:04:00.000Z,INR,sale posted
JAN-MOV-0043,JAN-ORD-0043,SALE,1,SKU-J-664,463.3,463.3,2026-01-14T09:36:00.000Z,INR,sale posted
JAN-MOV-0003,JAN-ORD-0003,SALE,1,SKU-J-176,1363,1363,2026-01-14T08:18:00.000Z,INR,sale posted
JAN-MOV-0055,JAN-ORD-0055,SALE,1,SKU-J-975,582.8,582.8,2026-01-28T09:15:00.000Z,INR,sale posted
JAN-MOV-0048,JAN-ORD-0048,SALE,1,SKU-J-589,1244.1,1244.1,2026-01-28T11:13:00.000Z,INR,sale posted
JAN-MOV-0041,JAN-ORD-0041,SALE,1,SKU-J-985,266.4,266.4,2026-01-18T10:17:00.000Z,INR,sale posted
JAN-MOV-0047,JAN-ORD-0047,SALE,1,SKU-J-671,1629.6,1629.6,2026-01-23T09:23:00.000Z,INR,sale posted
JAN-MOV-0019,JAN-ORD-0019,SALE,1,SKU-J-208,565.8,565.8,2026-01-03T09:01:00.000Z,INR,sale posted
JAN-MOV-0006,JAN-ORD-0006,SALE,1,SKU-J-248,1372.8,1372.8,2026-01-19T07:48:00.000Z,INR,sale posted
JAN-MOV-0023,JAN-ORD-0023,SALE,1,SKU-J-925,1536.8,1536.8,2026-01-01T08:56:00.000Z,INR,sale posted
JAN-MOV-0046,JAN-ORD-0046,SALE,1,SKU-J-963,1734,1734,2026-01-23T09:06:00.000Z,INR,sale posted
JAN-MOV-0022,JAN-ORD-0022,SALE,1,SKU-J-119,1788.4,1788.4,2026-01-29T07:02:00.000Z,INR,sale posted
JAN-MOV-0017,JAN-ORD-0017,SALE,1,SKU-J-898,2519.2,2519.2,2026-01-26T11:27:00.000Z,INR,sale posted
JAN-MOV-0020,JAN-ORD-0020,SALE,1,SKU-J-188,547.4,547.4,2026-01-21T11:55:00.000Z,INR,sale posted
JAN-MOV-0013,JAN-ORD-0013,SALE,1,SKU-J-970,2255,2255,2026-01-16T08:30:00.000Z,INR,sale posted
JAN-MOV-0018,JAN-ORD-0018,SALE,1,SKU-J-204,636,636,2026-01-12T09:59:00.000Z,INR,sale posted
JAN-MOV-0031,JAN-ORD-0031,SALE,1,SKU-J-743,651.9,651.9,2026-01-09T09:05:00.000Z,INR,sale posted
JAN-MOV-0040,JAN-ORD-0040,SALE,1,SKU-J-836,1259.6,1259.6,2026-01-01T10:05:00.000Z,INR,sale posted
JAN-MOV-0026,JAN-ORD-0026,SALE,1,SKU-J-738,545.2,545.2,2026-01-27T08:48:00.000Z,INR,sale posted
JAN-MOV-0029,JAN-ORD-0029,SALE,1,SKU-J-166,487.9,487.9,2026-01-12T09:33:00.000Z,INR,sale posted
JAN-MOV-0065,JAN-ORD-0065,SALE,1,SKU-J-913,1006.4,1006.4,2026-01-21T10:33:00.000Z,INR,sale posted
JAN-MOV-0035,JAN-ORD-0035,SALE,1,SKU-J-915,1234.2,1234.2,2026-01-02T07:22:00.000Z,INR,sale posted
JAN-MOV-0044,JAN-ORD-0044,SALE,1,SKU-J-223,356.7,356.7,2026-01-09T11:45:00.000Z,INR,sale posted
JAN-MOV-R0033,JAN-ORD-0033,RETURN,1,SKU-J-456,1476.7,1476.7,2026-01-19T11:36:00.000Z,INR,return received
JAN-MOV-0002,JAN-ORD-0002,SALE,1,SKU-J-191,1115.2,1115.2,2026-01-16T10:00:00.000Z,INR,sale posted
JAN-MOV-0030,JAN-ORD-0030,SALE,1,SKU-J-959,1548,1548,2026-01-31T07:21:00.000Z,INR,sale posted
JAN-MOV-0014,JAN-ORD-0014,SALE,1,SKU-J-312,849.6,849.6,2026-01-02T11:28:00.000Z,INR,sale posted
JAN-MOV-0070,JAN-ORD-0070,SALE,1,SKU-J-202,894.2,894.2,2026-01-14T07:11:00.000Z,INR,sale posted
JAN-MOV-0054,JAN-ORD-0054,SALE,1,SKU-J-879,2517.4,2517.4,2026-01-17T09:21:00.000Z,INR,sale posted
JAN-MOV-0052,JAN-ORD-0052,SALE,1,SKU-J-548,744.6,744.6,2026-01-14T08:46:00.000Z,INR,sale posted
JAN-MOV-0062,JAN-ORD-0062,SALE,1,SKU-J-892,3431,3431,2026-01-04T09:47:00.000Z,INR,sale posted
JAN-MOV-0012,JAN-ORD-0012,SALE,1,SKU-J-827,1785.6,1785.6,2026-01-18T07:08:00.000Z,INR,sale posted
JAN-MOV-0024,JAN-ORD-0024,SALE,1,SKU-J-467,1841.5,1841.5,2026-01-06T07:02:00.000Z,INR,sale posted
JAN-MOV-0064,JAN-ORD-0064,SALE,1,SKU-J-325,1123.2,1123.2,2026-01-06T11:22:00.000Z,INR,sale posted
JAN-MOV-0038,JAN-ORD-0038,SALE,1,SKU-J-392,1459.2,1459.2,2026-01-28T09:41:00.000Z,INR,sale posted
JAN-MOV-0011,JAN-ORD-0011,SALE,1,SKU-J-827,1591.2,1591.2,2026-01-03T08:26:00.000Z,INR,sale posted
JAN-MOV-0010,JAN-ORD-0010,SALE,1,SKU-J-985,774.3,774.3,2026-01-08T07:07:00.000Z,INR,sale posted
JAN-MOV-0007,JAN-ORD-0007,SALE,1,SKU-J-175,1517,1517,2026-01-08T11:34:00.000Z,INR,sale posted
