GatewayTxn,ReceiptNo,PaidValue,CapturedWhen,Currency,GatewayFee,Method,ResponseCode
JAN-PAY-0070,JAN-ORD-0070,2630,2026-01-14T07:11:00.000Z,INR,47.34,NETBANKING,00
JAN-PAY-0037,JAN-ORD-0037,2250,2026-01-04T11:00:00.000Z,INR,40.5,CARD,00
JAN-PAY-0008,JAN-ORD-0008,3680,2026-01-26T09:06:00.000Z,INR,66.24,CARD,00
JAN-PAY-0061,JAN-ORD-0061,7600,2026-01-30T11:29:00.000Z,INR,136.8,CARD,00
JAN-PAY-0065,JAN-ORD-0065,2960,2026-01-21T10:33:00.000Z,INR,53.28,CARD,00
JAN-PAY-0028,JAN-ORD-0028,1510,2026-01-28T07:52:00.000Z,INR,27.18,WALLET,00
JAN-PAY-0060,JAN-ORD-0060,5540,2026-01-15T08:37:00.000Z,INR,99.72,WALLET,00
JAN-PAY-0013,JAN-ORD-0013,5500,2026-01-16T08:30:00.000Z,INR,99,CARD,00
JAN-PAY-0046,JAN-ORD-0046,5100,2026-01-23T09:06:00.000Z,INR,91.8,NETBANKING,00
JAN-PAY-0022,JAN-ORD-0022,5260,2026-01-29T07:02:00.000Z,INR,94.68,NETBANKING,00
JAN-PAY-0029,JAN-ORD-0029,1190,2026-01-12T09:33:00.000Z,INR,21.42,NETBANKING,00
JAN-PAY-0027,JAN-ORD-0027,1060,2026-01-08T09:55:00.000Z,INR,19.08,NETBANKING,00
JAN-PAY-0067,JAN-ORD-0067,4700,2026-01-09T10:43:00.000Z,INR,84.6,UPI,00
JAN-PAY-0014,JAN-ORD-0014,3540,2026-01-02T11:28:00.000Z,INR,63.72,NETBANKING,00
JAN-PAY-0063,JAN-ORD-0063,7440,2026-01-27T11:27:00.000Z,INR,133.92,NETBANKING,00
JAN-PAY-0011,JAN-ORD-0011,4680,2026-01-03T08:26:00.000Z,INR,84.24,CARD,00
JAN-PAY-0059,JAN-ORD-0059,5900,2026-01-13T07:00:00.000Z,INR,106.2,NETBANKING,00
JAN-PAY-0003,JAN-ORD-0003,4700,2026-01-14T08:18:00.000Z,INR,84.6,NETBANKING,00
JAN-PAY-0050,JAN-ORD-0050,3510,2026-01-02T09:17:00.000Z,INR,63.18,UPI,00
JAN-PAY-0023,JAN-ORD-0023,4520,2026-01-01T08:56:00.000Z,INR,81.36,CARD,00
JAN-PAY-0001,JAN-ORD-0001,3480,2026-01-12T09:35:00.000Z,INR,62.64,WALLET,00
JAN-PAY-0015,JAN-ORD-0015,5150,2026-01-08T10:31:00.000Z,INR,92.7,WALLET,00
JAN-PAY-0017,JAN-ORD-0017,5360,2026-01-26T11:27:00.000Z,INR,96.48,WALLET,00
JAN-PAY-0052,JAN-ORD-0052,2190,2026-01-14T08:46:00.000Z,INR,39.42,WALLET,00
JAN-PAY-0039,JAN-ORD-0039,4540,2026-01-29T08:23:00.000Z,INR,81.72,WALLET,00
JAN-PAY-0069,JAN-ORD-0069,830,2026-01-04T09:37:00.000Z,INR,14.94,UPI,00
JAN-PAY-0064,JAN-ORD-0064,4680,2026-01-06T11:22:00.000Z,INR,84.24,UPI,00
JAN-PAY-0040,JAN-ORD-0040,2680,2026-01-01T10:05:00.000Z,INR,48.24,WALLET,00
JAN-PAY-0043,JAN-ORD-0043,1130,2026-01-14T09:36:00.000Z,INR,20.34,NETBANKING,00
JAN-PAY-0033,JAN-ORD-0033,3370,2026-01-11T11:36:00.000Z,INR,60.66,CARD,00
JAN-PAY-0024,JAN-ORD-0024,6350,2026-01-06T07:02:00.000Z,INR,114.3,NETBANKING,00
JAN-PAY-0042,JAN-ORD-0042,5050,2026-01-17T10:38:00.000Z,INR,90.9,WALLET,00
JAN-PAY-0045,JAN-ORD-0045,7500,2026-01-20T09:35:00.000Z,INR,135,UPI,00
JAN-PAY-0049,JAN-ORD-0049,7310,2026-01-16T11:28:00.000Z,INR,131.58,CARD,00
JAN-PAY-0010,JAN-ORD-0010,2670,2026-01-08T07:07:00.000Z,INR,48.06,CARD,00
JAN-PAY-0019,JAN-ORD-0019,1380,2026-01-03T09:01:00.000Z,INR,24.84,WALLET,00
JAN-PAY-0031,JAN-ORD-0031,1590,2026-01-09T09:05:00.000Z,INR,28.62,UPI,00
JAN-PAY-0006,JAN-ORD-0006,5720,2026-01-19T07:48:00.000Z,INR,102.96,CARD,00
JAN-PAY-0071,JAN-ORD-0071,1900,2026-01-02T11:06:00.000Z,INR,34.2,WALLET,00
JAN-PAY-0055,JAN-ORD-0055,1240,2026-01-28T09:15:00.000Z,INR,22.32,CARD,00
JAN-PAY-0021,JAN-ORD-0021,5110,2026-01-13T07:16:00.000Z,INR,91.98,UPI,00
JAN-PAY-0066,JAN-ORD-0066,4180,2026-01-25T11:58:00.000Z,INR,75.24,CARD,00
JAN-PAY-0053,JAN-ORD-0053,5600,2026-01-21T09:40:00.000Z,INR,100.8,UPI,00
JAN-PAY-0025,JAN-ORD-0025,4480,2026-01-28T09:08:00.000Z,INR,80.64,NETBANKING,00
JAN-PAY-0005,JAN-ORD-0005,2730,2026-01-17T08:27:00.000Z,INR,49.14,NETBANKING,00
