ActionRef,EmployeeCode,RecordType,RecordRef,ActionName,ActionAt,Outlet,Currency
JAN-ACT-0018,EMP-J-70,ORDER,JAN-ORD-0018,ORDER_CONFIRMED,2026-01-12T09:59:00.000Z,BLR-J02,INR
JAN-ACT-0023,EMP-J-51,ORDER,JAN-ORD-0023,ORDER_CONFIRMED,2026-01-01T08:56:00.000Z,BLR-J03,INR
JAN-ACT-0038,EMP-J-47,ORDER,JAN-ORD-0038,ORDER_CONFIRMED,2026-01-28T09:41:00.000Z,BLR-J01,INR
JAN-ACT-0012,EMP-J-44,ORDER,JAN-ORD-0012,ORDER_CONFIRMED,2026-01-18T07:08:00.000Z,BLR-J03,INR
JAN-ACT-R0041,EMP-J-30,REFUND,JAN-REF-0041,REFUND_APPROVED,2026-01-19T10:17:00.000Z,BLR-J04,INR
JAN-ACT-0037,EMP-J-84,ORDER,JAN-ORD-0037,ORDER_CONFIRMED,2026-01-04T11:00:00.000Z,BLR-J01,INR
JAN-ACT-R0033,EMP-J-69,REFUND,JAN-REF-0033,REFUND_APPROVED,2026-01-12T11:36:00.000Z,BLR-J02,INR
JAN-ACT-0016,EMP-J-75,ORDER,JAN-ORD-0016,ORDER_CONFIRMED,2026-01-18T09:42:00.000Z,BLR-J04,INR
JAN-ACT-0063,EMP-J-87,ORDER,JAN-ORD-0063,ORDER_CONFIRMED,2026-01-27T11:27:00.000Z,BLR-J04,INR
JAN-ACT-0036,EMP-J-84,ORDER,JAN-ORD-0036,ORDER_CONFIRMED,2026-01-22T07:36:00.000Z,BLR-J04,INR
JAN-ACT-0060,EMP-J-66,ORDER,JAN-ORD-0060,ORDER_CONFIRMED,2026-01-15T08:37:00.000Z,BLR-J02,INR
JAN-ACT-0050,EMP-J-49,ORDER,JAN-ORD-0050,ORDER_CONFIRMED,2026-01-02T09:17:00.000Z,BLR-J03,INR
JAN-ACT-0026,EMP-J-15,ORDER,JAN-ORD-0026,ORDER_CONFIRMED,2026-01-27T08:48:00.000Z,BLR-J04,INR
JAN-ACT-0030,EMP-J-63,ORDER,JAN-ORD-0030,ORDER_CONFIRMED,2026-01-31T07:21:00.000Z,BLR-J03,INR
JAN-ACT-0004,EMP-J-10,ORDER,JAN-ORD-0004,ORDER_CONFIRMED,2026-01-14T11:04:00.000Z,BLR-J03,INR
JAN-ACT-0008,EMP-J-66,ORDER,JAN-ORD-0008,ORDER_CONFIRMED,2026-01-26T09:06:00.000Z,BLR-J03,INR
JAN-ACT-0061,EMP-J-48,ORDER,JAN-ORD-0061,ORDER_CONFIRMED,2026-01-30T11:29:00.000Z,BLR-J04,INR
JAN-ACT-0065,EMP-J-55,ORDER,JAN-ORD-0065,ORDER_CONFIRMED,2026-01-21T10:33:00.000Z,BLR-J04,INR
JAN-ACT-0052,EMP-J-40,ORDER,JAN-ORD-0052,ORDER_CONFIRMED,2026-01-14T08:46:00.000Z,BLR-J04,INR
JAN-ACT-0044,EMP-J-58,ORDER,JAN-ORD-0044,ORDER_CONFIRMED,2026-01-09T11:45:00.000Z,BLR-J04,INR
JAN-ACT-0014,EMP-J-69,ORDER,JAN-ORD-0014,ORDER_CONFIRMED,2026-01-02T11:28:00.000Z,BLR-J04,INR
JAN-ACT-0045,EMP-J-92,ORDER,JAN-ORD-0045,ORDER_CONFIRMED,2026-01-20T09:35:00.000Z,BLR-J01,INR
JAN-ACT-0022,EMP-J-95,ORDER,JAN-ORD-0022,ORDER_CONFIRMED,2026-01-29T07:02:00.000Z,BLR-J01,INR
JAN-ACT-0029,EMP-J-87,ORDER,JAN-ORD-0029,ORDER_CONFIRMED,2026-01-12T09:33:00.000Z,BLR-J01,INR
JAN-ACT-0027,EMP-J-31,ORDER,JAN-ORD-0027,ORDER_CONFIRMED,2026-01-08T09:55:00.000Z,BLR-J01,INR
JAN-ACT-0067,EMP-J-66,ORDER,JAN-ORD-0067,ORDER_CONFIRMED,2026-01-09T10:43:00.000Z,BLR-J03,INR
JAN-ACT-0046,EMP-J-41,ORDER,JAN-ORD-0046,ORDER_CONFIRMED,2026-01-23T09:06:00.000Z,BLR-J01,INR
JAN-ACT-0020,EMP-J-77,ORDER,JAN-ORD-0020,ORDER_CONFIRMED,2026-01-21T11:55:00.000Z,BLR-J03,INR
JAN-ACT-0062,EMP-J-58,ORDER,JAN-ORD-0062,ORDER_CONFIRMED,2026-01-04T09:47:00.000Z,BLR-J03,INR
JAN-ACT-0059,EMP-J-10,ORDER,JAN-ORD-0059,ORDER_CONFIRMED,2026-01-13T07:00:00.000Z,BLR-J04,INR
JAN-ACT-0003,EMP-J-60,ORDER,JAN-ORD-0003,ORDER_CONFIRMED,2026-01-14T08:18:00.000Z,BLR-J02,INR
JAN-ACT-0049,EMP-J-57,ORDER,JAN-ORD-0049,ORDER_CONFIRMED,2026-01-16T11:28:00.000Z,BLR-J04,INR
JAN-ACT-0024,EMP-J-91,ORDER,JAN-ORD-0024,ORDER_CONFIRMED,2026-01-06T07:02:00.000Z,BLR-J02,INR
JAN-ACT-0001,EMP-J-96,ORDER,JAN-ORD-0001,ORDER_CONFIRMED,2026-01-12T09:35:00.000Z,BLR-J03,INR
JAN-ACT-0015,EMP-J-73,ORDER,JAN-ORD-0015,ORDER_CONFIRMED,2026-01-08T10:31:00.000Z,BLR-J01,INR
JAN-ACT-0017,EMP-J-38,ORDER,JAN-ORD-0017,ORDER_CONFIRMED,2026-01-26T11:27:00.000Z,BLR-J01,INR
JAN-ACT-0070,EMP-J-15,ORDER,JAN-ORD-0070,ORDER_CONFIRMED,2026-01-14T07:11:00.000Z,BLR-J02,INR
JAN-ACT-0039,EMP-J-85,ORDER,JAN-ORD-0039,ORDER_CONFIRMED,2026-01-29T08:23:00.000Z,BLR-J02,INR
JAN-ACT-0058,EMP-J-18,ORDER,JAN-ORD-0058,ORDER_CONFIRMED,2026-01-20T08:28:00.000Z,BLR-J01,INR
JAN-ACT-0064,EMP-J-57,ORDER,JAN-ORD-0064,ORDER_CONFIRMED,2026-01-06T11:22:00.000Z,BLR-J02,INR
JAN-ACT-0040,EMP-J-12,ORDER,JAN-ORD-0040,ORDER_CONFIRMED,2026-01-01T10:05:00.000Z,BLR-J01,INR
JAN-ACT-0042,EMP-J-96,ORDER,JAN-ORD-0042,ORDER_CONFIRMED,2026-01-17T10:38:00.000Z,BLR-J01,INR
JAN-ACT-0033,EMP-J-39,ORDER,JAN-ORD-0033,ORDER_CONFIRMED,2026-01-11T11:36:00.000Z,BLR-J02,INR
JAN-ACT-0069,EMP-J-12,ORDER,JAN-ORD-0069,ORDER_CONFIRMED,2026-01-04T09:37:00.000Z,BLR-J03,INR
JAN-ACT-0041,EMP-J-99,ORDER,JAN-ORD-0041,ORDER_CONFIRMED,2026-01-18T10:17:00.000Z,BLR-J04,INR
JAN-ACT-0043,EMP-J-26,ORDER,JAN-ORD-0043,ORDER_CONFIRMED,2026-01-14T09:36:00.000Z,BLR-J03,INR
JAN-ACT-0048,EMP-J-42,ORDER,JAN-ORD-0048,ORDER_CONFIRMED,2026-01-28T11:13:00.000Z,BLR-J01,INR
JAN-ACT-0011,EMP-J-22,ORDER,JAN-ORD-0011,ORDER_CONFIRMED,2026-01-03T08:26:00.000Z,BLR-J03,INR
JAN-ACT-0019,EMP-J-97,ORDER,JAN-ORD-0019,ORDER_CONFIRMED,2026-01-03T09:01:00.000Z,BLR-J03,INR
JAN-ACT-0031,EMP-J-67,ORDER,JAN-ORD-0031,ORDER_CONFIRMED,2026-01-09T09:05:00.000Z,BLR-J01,INR
JAN-ACT-0006,EMP-J-19,ORDER,JAN-ORD-0006,ORDER_CONFIRMED,2026-01-19T07:48:00.000Z,BLR-J03,INR
JAN-ACT-0071,EMP-J-41,ORDER,JAN-ORD-0071,ORDER_CONFIRMED,2026-01-02T11:06:00.000Z,BLR-J02,INR
JAN-ACT-0055,EMP-J-20,ORDER,JAN-ORD-0055,ORDER_CONFIRMED,2026-01-28T09:15:00.000Z,BLR-J04,INR
JAN-ACT-0021,EMP-J-40,ORDER,JAN-ORD-0021,ORDER_CONFIRMED,2026-01-13T07:16:00.000Z,BLR-J03,INR
JAN-ACT-0066,EMP-J-67,ORDER,JAN-ORD-0066,ORDER_CONFIRMED,2026-01-25T11:58:00.000Z,BLR-J03,INR
JAN-ACT-0051,EMP-J-20,ORDER,JAN-ORD-0051,ORDER_CONFIRMED,2026-01-29T11:35:00.000Z,BLR-J01,INR
JAN-ACT-0025,EMP-J-49,ORDER,JAN-ORD-0025,ORDER_CONFIRMED,2026-01-28T09:08:00.000Z,BLR-J01,INR
JAN-ACT-0005,EMP-J-52,ORDER,JAN-ORD-0005,ORDER_CONFIRMED,2026-01-17T08:27:00.000Z,BLR-J03,INR
