InvoiceNo,ReceiptNo,InvoiceTotal,IssuedAt,Currency,InvoiceState,Description
JAN-INV-0072,JAN-ORD-0072,7080,2026-01-07T11:39:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0072
JAN-INV-0002,JAN-ORD-0002,3280,2026-01-16T10:00:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0002
JAN-INV-0018,JAN-ORD-0018,2650,2026-01-12T09:59:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0018
JAN-INV-0023,JAN-ORD-0023,4520,2026-01-01T08:56:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0023
JAN-INV-0038,JAN-ORD-0038,6080,2026-01-28T09:41:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0038
JAN-INV-0012,JAN-ORD-0012,7440,2026-01-18T07:08:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0012
JAN-INV-0041,JAN-ORD-0041,1110,2026-01-18T10:17:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0041
JAN-INV-0037,JAN-ORD-0037,2250,2026-01-04T11:00:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0037
JAN-INV-0033,JAN-ORD-0033,3370,2026-01-11T11:36:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0033
JAN-INV-0016,JAN-ORD-0016,880,2026-01-18T09:42:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0016
JAN-INV-0063,JAN-ORD-0063,7440,2026-01-27T11:27:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0063
JAN-INV-0036,JAN-ORD-0036,1290,2026-01-22T07:36:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0036
JAN-INV-0060,JAN-ORD-0060,5540,2026-01-15T08:37:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0060
JAN-INV-0050,JAN-ORD-0050,3510,2026-01-02T09:17:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0050
JAN-INV-0026,JAN-ORD-0026,1160,2026-01-27T08:48:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0026
JAN-INV-0030,JAN-ORD-0030,6450,2026-01-31T07:21:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0030
JAN-INV-0004,JAN-ORD-0004,2180,2026-01-14T11:04:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0004
JAN-INV-0008,JAN-ORD-0008,3680,2026-01-26T09:06:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0008
JAN-INV-0061,JAN-ORD-0061,7600,2026-01-30T11:29:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0061
JAN-INV-0065,JAN-ORD-0065,2960,2026-01-21T10:33:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0065
JAN-INV-0052,JAN-ORD-0052,2190,2026-01-14T08:46:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0052
JAN-INV-0044,JAN-ORD-0044,1230,2026-01-09T11:45:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0044
JAN-INV-0014,JAN-ORD-0014,3540,2026-01-02T11:28:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0014
JAN-INV-0045,JAN-ORD-0045,7500,2026-01-20T09:35:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0045
JAN-INV-0022,JAN-ORD-0022,5260,2026-01-29T07:02:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0022
JAN-INV-0029,JAN-ORD-0029,1190,2026-01-12T09:33:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0029
JAN-INV-0027,JAN-ORD-0027,1060,2026-01-08T09:55:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0027
JAN-INV-0067,JAN-ORD-0067,4700,2026-01-09T10:43:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0067
JAN-INV-0046,JAN-ORD-0046,5100,2026-01-23T09:06:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0046
JAN-INV-0020,JAN-ORD-0020,1610,2026-01-21T11:55:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0020
JAN-INV-0062,JAN-ORD-0062,7300,2026-01-04T09:47:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0062
JAN-INV-0059,JAN-ORD-0059,5900,2026-01-13T07:00:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0059
JAN-INV-0003,JAN-ORD-0003,4700,2026-01-14T08:18:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0003
JAN-INV-0049,JAN-ORD-0049,7310,2026-01-16T11:28:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0049
JAN-INV-0024,JAN-ORD-0024,6350,2026-01-06T07:02:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0024
JAN-INV-0001,JAN-ORD-0001,3480,2026-01-12T09:35:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0001
JAN-INV-0015,JAN-ORD-0015,5150,2026-01-08T10:31:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0015
JAN-INV-0017,JAN-ORD-0017,5360,2026-01-26T11:27:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0017
JAN-INV-0070,JAN-ORD-0070,2630,2026-01-14T07:11:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0070
JAN-INV-0039,JAN-ORD-0039,4540,2026-01-29T08:23:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0039
JAN-INV-0058,JAN-ORD-0058,1300,2026-01-20T08:28:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0058
JAN-INV-0064,JAN-ORD-0064,4680,2026-01-06T11:22:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0064
JAN-INV-0040,JAN-ORD-0040,2680,2026-01-01T10:05:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0040
JAN-INV-0042,JAN-ORD-0042,5050,2026-01-17T10:38:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0042
JAN-INV-R0033,JAN-ORD-0033,-3370,2026-01-19T11:36:00.000Z,INR,REVERSED,Refund reversal JAN-ORD-0033
JAN-INV-0069,JAN-ORD-0069,830,2026-01-04T09:37:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0069
JAN-INV-R0041,JAN-ORD-0041,-1110,2026-01-23T10:17:00.000Z,INR,REVERSED,Refund reversal JAN-ORD-0041
JAN-INV-0043,JAN-ORD-0043,1130,2026-01-14T09:36:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0043
JAN-INV-0048,JAN-ORD-0048,4290,2026-01-28T11:13:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0048
JAN-INV-0011,JAN-ORD-0011,4680,2026-01-03T08:26:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0011
JAN-INV-0019,JAN-ORD-0019,1380,2026-01-03T09:01:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0019
JAN-INV-0031,JAN-ORD-0031,1590,2026-01-09T09:05:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0031
JAN-INV-0006,JAN-ORD-0006,5720,2026-01-19T07:48:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0006
JAN-INV-0071,JAN-ORD-0071,1900,2026-01-02T11:06:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0071
JAN-INV-0055,JAN-ORD-0055,1240,2026-01-28T09:15:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0055
JAN-INV-0021,JAN-ORD-0021,5110,2026-01-13T07:16:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0021
JAN-INV-0066,JAN-ORD-0066,4180,2026-01-25T11:58:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0066
JAN-INV-0051,JAN-ORD-0051,4580,2026-01-29T11:35:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0051
JAN-INV-0025,JAN-ORD-0025,4480,2026-01-28T09:08:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0025
JAN-INV-0005,JAN-ORD-0005,2730,2026-01-17T08:27:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0005
