MovementID,OrderID,MovementType,Quantity,SKU,UnitCost,InventoryValue,OccurredAt,Currency,SKUDescription
AUG-MOV-0061,AUG-ORD-0061,SALE,1,SKU-AU-369,5372,5372,2026-08-30T15:25:00.000Z,INR,Sellable item
AUG-MOV-0027,AUG-ORD-0027,SALE,1,SKU-AU-358,4992,4992,2026-08-16T14:51:00.000Z,INR,Sellable item
AUG-MOV-0032,AUG-ORD-0032,SALE,1,SKU-AU-138,10152,10152,2026-08-26T15:06:00.000Z,INR,Sellable item
AUG-MOV-0037,AUG-ORD-0037,SALE,1,SKU-AU-692,888,888,2026-08-27T14:06:00.000Z,INR,Sellable item
AUG-MOV-0033,AUG-ORD-0033,SALE,1,SKU-AU-886,952,952,2026-08-08T17:35:00.000Z,INR,Sellable item
AUG-MOV-0063,AUG-ORD-0063,SALE,1,SKU-AU-727,9635,9635,2026-08-08T15:51:00.000Z,INR,Sellable item
AUG-MOV-0066,AUG-ORD-0066,SALE,1,SKU-AU-116,6533,6533,2026-08-18T16:59:00.000Z,INR,Sellable item
AUG-MOV-0003,AUG-ORD-0003,SALE,1,SKU-AU-371,4920,4920,2026-08-13T16:00:00.000Z,INR,Sellable item
AUG-MOV-0009,AUG-ORD-0009,SALE,1,SKU-AU-783,4935,4935,2026-08-03T15:33:00.000Z,INR,Sellable item
AUG-MOV-0041,AUG-ORD-0041,SALE,1,SKU-AU-871,960,960,2026-08-28T16:09:00.000Z,INR,Sellable item
AUG-MOV-0019,AUG-ORD-0019,SALE,1,SKU-AU-871,1218,1218,2026-08-05T14:10:00.000Z,INR,Sellable item
AUG-MOV-0001,AUG-ORD-0001,SALE,1,SKU-AU-962,2074,2074,2026-08-27T14:59:00.000Z,INR,Sellable item
AUG-MOV-0022,AUG-ORD-0022,SALE,1,SKU-AU-298,782,782,2026-08-28T16:56:00.000Z,INR,Sellable item
AUG-MOV-0016,AUG-ORD-0016,SALE,1,SKU-AU-604,5800,5800,2026-08-30T15:30:00.000Z,INR,Sellable item
AUG-MOV-R0065,AUG-ORD-0065,RETURN,1,SKU-AU-633,6392,6392,2026-08-10T17:28:00.000Z,INR,Returned item
AUG-MOV-0024,AUG-ORD-0024,SALE,1,SKU-AU-638,4920,4920,2026-08-14T17:10:00.000Z,INR,Sellable item
AUG-MOV-0013,AUG-ORD-0013,SALE,1,SKU-AU-419,984,984,2026-08-20T14:23:00.000Z,INR,Sellable item
AUG-MOV-0039,AUG-ORD-0039,SALE,1,SKU-AU-731,4611,4611,2026-08-21T18:46:00.000Z,INR,Sellable item
AUG-MOV-0042,AUG-ORD-0042,SALE,1,SKU-AU-495,7072,7072,2026-08-20T17:01:00.000Z,INR,Sellable item
AUG-MOV-R0070,AUG-ORD-0070,RETURN,1,SKU-AU-442,3828,3828,2026-08-13T15:48:00.000Z,INR,Returned item
AUG-MOV-0065,AUG-ORD-0065,SALE,2,SKU-AU-633,6392,12784,2026-08-02T17:28:00.000Z,INR,Sellable item
AUG-MOV-0055,AUG-ORD-0055,SALE,1,SKU-AU-295,3422,3422,2026-08-16T14:15:00.000Z,INR,Sellable item
AUG-MOV-0008,AUG-ORD-0008,SALE,1,SKU-AU-547,3393,3393,2026-08-10T14:47:00.000Z,INR,Sellable item
