EmployeeActionID,EmployeeID,EntityType,EntityID,ActionCode,ActionTime,LocationID,CCY
JUN-ACT-0053,EMP-JN-45,ORDER,JUN-ORD-0053,ORDER_CONFIRMED,2026-06-05T14:40:00.000Z,RAJ-JN03,INR
JUN-ACT-0015,EMP-JN-54,ORDER,JUN-ORD-0015,ORDER_CONFIRMED,2026-06-19T13:06:00.000Z,AHM-JN01,INR
JUN-ACT-0033,EMP-JN-85,ORDER,JUN-ORD-0033,ORDER_CONFIRMED,2026-06-06T15:19:00.000Z,AUR-JN04,INR
JUN-ACT-0060,EMP-JN-50,ORDER,JUN-ORD-0060,ORDER_CONFIRMED,2026-06-05T15:57:00.000Z,SUR-JN02,INR
JUN-ACT-0041,EMP-JN-65,ORDER,JUN-ORD-0041,ORDER_CONFIRMED,2026-06-25T15:43:00.000Z,AHM-JN01,INR
JUN-ACT-0065,EMP-JN-77,ORDER,JUN-ORD-0065,ORDER_CONFIRMED,2026-06-10T16:46:00.000Z,AHM-JN01,INR
JUN-ACT-0034,EMP-JN-60,ORDER,JUN-ORD-0034,ORDER_CONFIRMED,2026-06-04T14:46:00.000Z,SUR-JN02,INR
JUN-ACT-0044,EMP-JN-78,ORDER,JUN-ORD-0044,ORDER_CONFIRMED,2026-06-17T15:29:00.000Z,AUR-JN04,INR
JUN-ACT-0002,EMP-JN-61,ORDER,JUN-ORD-0002,ORDER_CONFIRMED,2026-06-10T14:48:00.000Z,SUR-JN02,INR
JUN-ACT-0017,EMP-JN-84,ORDER,JUN-ORD-0017,ORDER_CONFIRMED,2026-06-30T13:37:00.000Z,AUR-JN04,INR
JUN-ACT-0054,EMP-JN-71,ORDER,JUN-ORD-0054,ORDER_CONFIRMED,2026-06-30T12:11:00.000Z,RAJ-JN03,INR
JUN-ACT-0021,EMP-JN-76,ORDER,JUN-ORD-0021,ORDER_CONFIRMED,2026-06-11T16:58:00.000Z,SUR-JN02,INR
JUN-ACT-0051,EMP-JN-33,ORDER,JUN-ORD-0051,ORDER_CONFIRMED,2026-06-17T12:33:00.000Z,RAJ-JN03,INR
JUN-ACT-0019,EMP-JN-75,ORDER,JUN-ORD-0019,ORDER_CONFIRMED,2026-06-11T12:47:00.000Z,AHM-JN01,INR
JUN-ACT-0067,EMP-JN-38,ORDER,JUN-ORD-0067,ORDER_CONFIRMED,2026-06-06T13:51:00.000Z,AUR-JN04,INR
JUN-ACT-0007,EMP-JN-15,ORDER,JUN-ORD-0007,ORDER_CONFIRMED,2026-06-22T16:24:00.000Z,AHM-JN01,INR
JUN-ACT-0045,EMP-JN-90,ORDER,JUN-ORD-0045,ORDER_CONFIRMED,2026-06-09T14:07:00.000Z,AUR-JN04,INR
JUN-ACT-0031,EMP-JN-55,ORDER,JUN-ORD-0031,ORDER_CONFIRMED,2026-06-29T14:00:00.000Z,RAJ-JN03,INR
JUN-ACT-0055,EMP-JN-25,ORDER,JUN-ORD-0055,ORDER_CONFIRMED,2026-06-18T15:22:00.000Z,SUR-JN02,INR
JUN-ACT-0005,EMP-JN-26,ORDER,JUN-ORD-0005,ORDER_CONFIRMED,2026-06-09T15:38:00.000Z,SUR-JN02,INR
JUN-ACT-0018,EMP-JN-65,ORDER,JUN-ORD-0018,ORDER_CONFIRMED,2026-06-03T14:20:00.000Z,RAJ-JN03,INR
JUN-ACT-0059,EMP-JN-81,ORDER,JUN-ORD-0059,ORDER_CONFIRMED,2026-06-16T13:27:00.000Z,SUR-JN02,INR
JUN-ACT-0050,EMP-JN-76,ORDER,JUN-ORD-0050,ORDER_CONFIRMED,2026-06-17T16:17:00.000Z,RAJ-JN03,INR
JUN-ACT-0063,EMP-JN-36,ORDER,JUN-ORD-0063,ORDER_CONFIRMED,2026-06-02T15:14:00.000Z,SUR-JN02,INR
JUN-ACT-0016,EMP-JN-98,ORDER,JUN-ORD-0016,ORDER_CONFIRMED,2026-06-01T12:02:00.000Z,AHM-JN01,INR
JUN-ACT-0056,EMP-JN-38,ORDER,JUN-ORD-0056,ORDER_CONFIRMED,2026-06-07T12:07:00.000Z,RAJ-JN03,INR
JUN-ACT-0062,EMP-JN-95,ORDER,JUN-ORD-0062,ORDER_CONFIRMED,2026-06-03T16:25:00.000Z,AUR-JN04,INR
JUN-ACT-0036,EMP-JN-27,ORDER,JUN-ORD-0036,ORDER_CONFIRMED,2026-06-29T12:14:00.000Z,SUR-JN02,INR
JUN-ACT-0072,EMP-JN-23,ORDER,JUN-ORD-0072,ORDER_CONFIRMED,2026-06-15T13:17:00.000Z,RAJ-JN03,INR
JUN-ACT-0074,EMP-JN-16,ORDER,JUN-ORD-0074,ORDER_CONFIRMED,2026-06-12T16:02:00.000Z,SUR-JN02,INR
JUN-ACT-0010,EMP-JN-57,ORDER,JUN-ORD-0010,ORDER_CONFIRMED,2026-06-07T14:10:00.000Z,RAJ-JN03,INR
JUN-ACT-0052,EMP-JN-52,ORDER,JUN-ORD-0052,ORDER_CONFIRMED,2026-06-12T12:00:00.000Z,AUR-JN04,INR
JUN-ACT-0003,EMP-JN-19,ORDER,JUN-ORD-0003,ORDER_CONFIRMED,2026-06-02T14:47:00.000Z,AHM-JN01,INR
JUN-ACT-0048,EMP-JN-77,ORDER,JUN-ORD-0048,ORDER_CONFIRMED,2026-06-02T16:34:00.000Z,SUR-JN02,INR
JUN-ACT-0032,EMP-JN-32,ORDER,JUN-ORD-0032,ORDER_CONFIRMED,2026-06-23T15:10:00.000Z,RAJ-JN03,INR
JUN-ACT-0057,EMP-JN-93,ORDER,JUN-ORD-0057,ORDER_CONFIRMED,2026-06-14T16:15:00.000Z,AHM-JN01,INR
JUN-ACT-0035,EMP-JN-48,ORDER,JUN-ORD-0035,ORDER_CONFIRMED,2026-06-09T12:15:00.000Z,SUR-JN02,INR
JUN-ACT-0030,EMP-JN-63,ORDER,JUN-ORD-0030,ORDER_CONFIRMED,2026-06-14T15:14:00.000Z,AUR-JN04,INR
JUN-ACT-0073,EMP-JN-75,ORDER,JUN-ORD-0073,ORDER_CONFIRMED,2026-06-14T12:26:00.000Z,RAJ-JN03,INR
JUN-ACT-0014,EMP-JN-26,ORDER,JUN-ORD-0014,ORDER_CONFIRMED,2026-06-12T16:19:00.000Z,AHM-JN01,INR
JUN-ACT-0029,EMP-JN-85,ORDER,JUN-ORD-0029,ORDER_CONFIRMED,2026-06-14T12:17:00.000Z,SUR-JN02,INR
JUN-ACT-0039,EMP-JN-35,ORDER,JUN-ORD-0039,ORDER_CONFIRMED,2026-06-19T12:07:00.000Z,AHM-JN01,INR
JUN-ACT-0001,EMP-JN-31,ORDER,JUN-ORD-0001,ORDER_CONFIRMED,2026-06-05T16:17:00.000Z,AHM-JN01,INR
JUN-ACT-0047,EMP-JN-75,ORDER,JUN-ORD-0047,ORDER_CONFIRMED,2026-06-03T15:11:00.000Z,RAJ-JN03,INR
JUN-ACT-0037,EMP-JN-46,ORDER,JUN-ORD-0037,ORDER_CONFIRMED,2026-06-09T15:58:00.000Z,AUR-JN04,INR
JUN-ACT-0040,EMP-JN-24,ORDER,JUN-ORD-0040,ORDER_CONFIRMED,2026-06-10T12:46:00.000Z,SUR-JN02,INR
JUN-ACT-0046,EMP-JN-39,ORDER,JUN-ORD-0046,ORDER_CONFIRMED,2026-06-19T13:27:00.000Z,SUR-JN02,INR
JUN-ACT-0009,EMP-JN-35,ORDER,JUN-ORD-0009,ORDER_CONFIRMED,2026-06-30T14:09:00.000Z,RAJ-JN03,INR
JUN-ACT-0012,EMP-JN-31,ORDER,JUN-ORD-0012,ORDER_CONFIRMED,2026-06-09T12:28:00.000Z,SUR-JN02,INR
JUN-ACT-0061,EMP-JN-99,ORDER,JUN-ORD-0061,ORDER_CONFIRMED,2026-06-04T12:18:00.000Z,AUR-JN04,INR
JUN-ACT-R0005,EMP-JN-96,REFUND,JUN-REF-0005,REFUND_APPROVED,2026-06-10T15:38:00.000Z,SUR-JN02,INR
