SettlementID,PaymentID,GrossAmount,FeeAmount,FeeTax,NetAmount,SettledTime,CCY,BankFile
JUN-SET-0063,JUN-PAY-0063,2580,41.28,7.43,2531.29,2026-06-04T15:14:00.000Z,INR,SET-202606-03
JUN-SET-0017,JUN-PAY-0017,2840,45.44,8.18,2786.38,2026-07-02T13:37:00.000Z,INR,SET-202606-03
JUN-SET-0060,JUN-PAY-0060,3600,57.6,10.37,3532.03,2026-06-07T15:57:00.000Z,INR,SET-202606-02
JUN-SET-0056,JUN-PAY-0056,5380,86.08,15.49,5278.43,2026-06-09T12:07:00.000Z,INR,SET-202606-04
JUN-SET-0013,JUN-PAY-0013,2160,34.56,6.22,2119.22,2026-06-18T13:44:00.000Z,INR,SET-202606-01
JUN-SET-0006,JUN-PAY-0006,4400,70.4,12.67,4316.93,2026-06-19T12:02:00.000Z,INR,SET-202606-02
JUN-SET-0034,JUN-PAY-0034,5220,83.52,15.03,5121.45,2026-06-06T14:46:00.000Z,INR,SET-202606-01
JUN-SET-0064,JUN-PAY-0064,2060,36.71,6.61,2016.68,2026-06-16T16:32:00.000Z,INR,SET-202606-03
JUN-SET-0029,JUN-PAY-0029,2180,34.88,6.28,2138.84,2026-06-16T12:17:00.000Z,INR,SET-202606-03
JUN-SET-0058,JUN-PAY-0058,5360,85.76,15.44,5258.8,2026-06-08T16:53:00.000Z,INR,SET-202606-03
JUN-SET-0033,JUN-PAY-0033,5300,84.8,15.26,5199.94,2026-06-08T15:19:00.000Z,INR,SET-202606-03
JUN-SET-0032,JUN-PAY-0032,1100,17.6,3.17,1079.23,2026-06-25T15:10:00.000Z,INR,SET-202606-04
JUN-SET-0020,JUN-PAY-0020,4040,64.64,11.64,3963.72,2026-06-28T14:19:00.000Z,INR,SET-202606-03
JUN-SET-0004,JUN-PAY-0004,3680,58.88,10.6,3610.52,2026-06-10T13:50:00.000Z,INR,SET-202606-01
JUN-SET-0019,JUN-PAY-0019,3860,61.76,11.12,3787.12,2026-06-13T12:47:00.000Z,INR,SET-202606-04
JUN-SET-0069,JUN-PAY-0069,2420,38.72,6.97,2374.31,2026-06-20T13:25:00.000Z,INR,SET-202606-03
JUN-SET-0011,JUN-PAY-0011,2260,36.16,6.51,2217.33,2026-06-18T15:26:00.000Z,INR,SET-202606-01
JUN-SET-0042,JUN-PAY-0042,5160,82.56,14.86,5062.58,2026-06-10T16:50:00.000Z,INR,SET-202606-01
JUN-SET-0068,JUN-PAY-0068,2060,32.96,5.93,2021.11,2026-06-14T12:02:00.000Z,INR,SET-202606-01
JUN-SET-0031,JUN-PAY-0031,4820,77.12,13.88,4729,2026-07-01T14:00:00.000Z,INR,SET-202606-02
JUN-SET-0015,JUN-PAY-0015,5380,86.08,15.49,5278.43,2026-06-21T13:06:00.000Z,INR,SET-202606-04
JUN-SET-0014,JUN-PAY-0014,760,12.16,2.19,745.65,2026-06-14T16:19:00.000Z,INR,SET-202606-01
