DocumentNo,TxnReceipt,DocumentValue,DocumentDate,Ccy,DocumentType,State
MAR-INV-0074,MAR-ORD-0074,6650,2026-03-16T11:35:00.000Z,INR,SALE,ACTIVE
MAR-INV-0013,MAR-ORD-0013,3050,2026-03-09T11:13:00.000Z,INR,SALE,ACTIVE
MAR-INV-0030,MAR-ORD-0030,6700,2026-03-27T10:13:00.000Z,INR,SALE,ACTIVE
MAR-INV-0011,MAR-ORD-0011,7550,2026-03-30T14:23:00.000Z,INR,SALE,ACTIVE
MAR-INV-0037,MAR-ORD-0037,5000,2026-03-13T10:08:00.000Z,INR,SALE,ACTIVE
MAR-INV-0038,MAR-ORD-0038,12050,2026-03-30T14:10:00.000Z,INR,SALE,ACTIVE
MAR-INV-0064,MAR-ORD-0064,9450,2026-03-08T14:48:00.000Z,INR,SALE,ACTIVE
MAR-INV-R0064,MAR-ORD-0064,-9450,2026-03-15T14:48:00.000Z,INR,REVERSAL,REVERSED
MAR-INV-0055,MAR-ORD-0055,5500,2026-03-27T10:06:00.000Z,INR,SALE,ACTIVE
MAR-INV-0028,MAR-ORD-0028,7450,2026-03-17T13:26:00.000Z,INR,SALE,ACTIVE
MAR-INV-0006,MAR-ORD-0006,6950,2026-03-09T11:24:00.000Z,INR,SALE,ACTIVE
MAR-INV-0002,MAR-ORD-0002,6900,2026-03-04T10:26:00.000Z,INR,SALE,ACTIVE
MAR-INV-0078,MAR-ORD-0078,6250,2026-03-20T10:10:00.000Z,INR,SALE,ACTIVE
MAR-INV-0049,MAR-ORD-0049,12300,2026-03-02T12:00:00.000Z,INR,SALE,ACTIVE
MAR-INV-0077,MAR-ORD-0077,8850,2026-03-15T10:26:00.000Z,INR,SALE,ACTIVE
MAR-INV-0015,MAR-ORD-0015,3100,2026-03-14T11:34:00.000Z,INR,SALE,ACTIVE
MAR-INV-0003,MAR-ORD-0003,1850,2026-03-01T10:03:00.000Z,INR,SALE,ACTIVE
MAR-INV-0053,MAR-ORD-0053,9450,2026-03-05T12:36:00.000Z,INR,SALE,ACTIVE
MAR-INV-0067,MAR-ORD-0067,7000,2026-03-18T11:10:00.000Z,INR,SALE,ACTIVE
MAR-INV-0072,MAR-ORD-0072,3400,2026-03-23T10:24:00.000Z,INR,SALE,ACTIVE
MAR-INV-0060,MAR-ORD-0060,1600,2026-03-05T10:10:00.000Z,INR,SALE,ACTIVE
MAR-INV-0051,MAR-ORD-0051,5550,2026-03-12T11:04:00.000Z,INR,SALE,ACTIVE
MAR-INV-0014,MAR-ORD-0014,4650,2026-03-19T13:01:00.000Z,INR,SALE,ACTIVE
MAR-INV-0033,MAR-ORD-0033,7600,2026-03-11T11:03:00.000Z,INR,SALE,ACTIVE
MAR-INV-0026,MAR-ORD-0026,10400,2026-03-02T11:26:00.000Z,INR,SALE,ACTIVE
MAR-INV-0070,MAR-ORD-0070,2450,2026-03-08T11:52:00.000Z,INR,SALE,ACTIVE
MAR-INV-0063,MAR-ORD-0063,1050,2026-03-30T12:31:00.000Z,INR,SALE,ACTIVE
MAR-INV-0046,MAR-ORD-0046,5900,2026-03-18T11:35:00.000Z,INR,SALE,ACTIVE
MAR-INV-0036,MAR-ORD-0036,8650,2026-03-20T12:09:00.000Z,INR,SALE,ACTIVE
MAR-INV-0019,MAR-ORD-0019,4250,2026-03-03T13:17:00.000Z,INR,SALE,ACTIVE
MAR-INV-R0053,MAR-ORD-0053,-9450,2026-03-09T12:36:00.000Z,INR,REVERSAL,REVERSED
MAR-INV-0043,MAR-ORD-0043,6550,2026-03-24T14:08:00.000Z,INR,SALE,ACTIVE
MAR-INV-0045,MAR-ORD-0045,4550,2026-03-27T13:20:00.000Z,INR,SALE,ACTIVE
MAR-INV-R0054,MAR-ORD-0054,-7650,2026-03-26T10:31:00.000Z,INR,REVERSAL,REVERSED
MAR-INV-0031,MAR-ORD-0031,900,2026-03-15T11:22:00.000Z,INR,SALE,ACTIVE
MAR-INV-0024,MAR-ORD-0024,7700,2026-03-24T13:19:00.000Z,INR,SALE,ACTIVE
MAR-INV-0029,MAR-ORD-0029,9600,2026-03-23T14:13:00.000Z,INR,SALE,ACTIVE
MAR-INV-0065,MAR-ORD-0065,2550,2026-03-03T11:56:00.000Z,INR,SALE,ACTIVE
MAR-INV-0071,MAR-ORD-0071,4650,2026-03-08T14:51:00.000Z,INR,SALE,ACTIVE
MAR-INV-0020,MAR-ORD-0020,5000,2026-03-09T14:30:00.000Z,INR,SALE,ACTIVE
MAR-INV-0062,MAR-ORD-0062,8700,2026-03-04T12:03:00.000Z,INR,SALE,ACTIVE
MAR-INV-0025,MAR-ORD-0025,2150,2026-03-21T10:32:00.000Z,INR,SALE,ACTIVE
MAR-INV-0039,MAR-ORD-0039,1450,2026-03-12T13:24:00.000Z,INR,SALE,ACTIVE
MAR-INV-0061,MAR-ORD-0061,1200,2026-03-24T12:12:00.000Z,INR,SALE,ACTIVE
MAR-INV-0007,MAR-ORD-0007,4500,2026-03-31T11:45:00.000Z,INR,SALE,ACTIVE
MAR-INV-R0013,MAR-ORD-0013,-3050,2026-03-13T11:13:00.000Z,INR,REVERSAL,REVERSED
MAR-INV-0009,MAR-ORD-0009,10450,2026-03-26T11:17:00.000Z,INR,SALE,ACTIVE
MAR-INV-0076,MAR-ORD-0076,3700,2026-03-03T12:20:00.000Z,INR,SALE,ACTIVE
MAR-INV-0080,MAR-ORD-0080,11250,2026-03-22T11:23:00.000Z,INR,SALE,ACTIVE
MAR-INV-0032,MAR-ORD-0032,11450,2026-03-07T10:31:00.000Z,INR,SALE,ACTIVE
MAR-INV-0057,MAR-ORD-0057,8700,2026-03-27T13:27:00.000Z,INR,SALE,ACTIVE
MAR-INV-0079,MAR-ORD-0079,10400,2026-03-24T12:42:00.000Z,INR,SALE,ACTIVE
MAR-INV-0047,MAR-ORD-0047,9300,2026-03-03T11:27:00.000Z,INR,SALE,ACTIVE
MAR-INV-R0010,MAR-ORD-0010,-6250,2026-03-12T14:01:00.000Z,INR,REVERSAL,REVERSED
MAR-INV-0005,MAR-ORD-0005,2000,2026-03-14T11:04:00.000Z,INR,SALE,ACTIVE
MAR-INV-0027,MAR-ORD-0027,7050,2026-03-09T14:42:00.000Z,INR,SALE,ACTIVE
MAR-INV-0034,MAR-ORD-0034,1050,2026-03-16T13:34:00.000Z,INR,SALE,ACTIVE
MAR-INV-0066,MAR-ORD-0066,7850,2026-03-21T10:56:00.000Z,INR,SALE,ACTIVE
MAR-INV-0016,MAR-ORD-0016,1300,2026-03-12T10:36:00.000Z,INR,SALE,ACTIVE
MAR-INV-0023,MAR-ORD-0023,7850,2026-03-06T14:38:00.000Z,INR,SALE,ACTIVE
MAR-INV-0048,MAR-ORD-0048,4350,2026-03-09T11:52:00.000Z,INR,SALE,ACTIVE
MAR-INV-R0001,MAR-ORD-0001,-12000,2026-03-29T14:07:00.000Z,INR,REVERSAL,REVERSED
MAR-INV-0008,MAR-ORD-0008,4900,2026-03-17T12:44:00.000Z,INR,SALE,ACTIVE
MAR-INV-0041,MAR-ORD-0041,6150,2026-03-05T10:31:00.000Z,INR,SALE,ACTIVE
MAR-INV-0004,MAR-ORD-0004,5050,2026-03-27T10:23:00.000Z,INR,SALE,ACTIVE
